chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.285129123,-0.524670139,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,49.01083316,3.1156,space,49.46349344,4.8159,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,,,0.3177
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.234624566,-0.508342014,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,3,6.2666,space,7,8.6679,,,,,,0,15,15,15,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,0.4347,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.363232422,-0.526171875,1,0,0,LeftButton,"[""LeftButton""]",,,,4.014024523,7.0127,space,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,0.7659,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,0.310167101,-0.5075,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,50.30250421,2.5301,space,49.34073811,3.5301,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,,0.1689
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,0.299235026,-0.497482639,1,0,0,RightButton,"[""RightButton""]",,,,,,,69,6.848,space,9,8.9173,,,,,,0,18,18,18,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,0.6131,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.296625434,-0.510928819,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,49.56597222,8.7627,space,48.4041807,9.7142,0,19,19,19,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,,0.2851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.291433377,-0.510425347,1,0,0,LeftButton,"[""LeftButton""]",1,2.1528,space,,,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,0.7892,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,0.303629557,-0.511935764,1,0,0,RightButton,"[""RightButton""]",50,3.0004,space,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,0.1806,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.32852105,-0.501796875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.315521918,-0.498229167,1,0,0,LeftButton,"[""LeftButton""]",71,2.0536,space,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,0.4338,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.247710503,-0.507421875,1,0,0,LeftButton,"[""LeftButton""]",20,2.0865,space,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,0.4688,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,0.278238932,-0.526006944,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,48.3712998,4.1598,space,48.81738391,5.3961,0,25,25,25,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,,0.2367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.262792969,-0.498706597,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,50,5.2456,space,10,7.6104,,,,,,0,26,26,26,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.2376,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,0.264577908,-0.535434028,1,0,0,RightButton,"[""RightButton""]",,,,4.076687283,6.6119,space,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,0.9856,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,0.216617839,-0.532795139,1,0,0,RightButton,"[""RightButton""]",,,,4.041883681,4.3288,space,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,,0.2509,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.323942057,-0.540199653,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,75,6.5453,space,7,10.3303,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,0.3152,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.271636285,-0.479548611,1,0,0,LeftButton,"[""LeftButton""]",,,,2.936930339,2.5348,space,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,0.3196,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3Vxfev3MGsXgbK1,1,2024-05-13_17h19.59.730,interaction task,2021.2.3,MacIntel,60.24096386,120801,,,,,,,,,,,,,,,,,Smaller,Greater,,0.267659505,-0.498932292,1,0,0,RightButton,"[""RightButton""]",,,,3.984944661,4.4461,space,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,0.4009,
