chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.317171556,-0.487083899,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,37,2.957,space,0.3343,4,5.3615,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,0.248267432,-0.479067595,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.25368835,-0.486234715,1,0,0,LeftButton,"[""LeftButton""]",,,,4.004969175,3.2906,space,,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,0.5832,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,0.302120536,-0.50657269,1,0,0,RightButton,"[""RightButton""]",,,,0.014615221,2.9659,space,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,0.3565,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.302673257,-0.49094769,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.29942602,-0.484918478,1,0,0,LeftButton,"[""LeftButton""]",,,,2.019132653,3.26,space,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,0.5017,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.296688988,-0.47256284,1,0,0,LeftButton,"[""LeftButton""]",100,3.2846,space,,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,0.4668,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,0.353438563,-0.495966372,1,0,0,RightButton,"[""RightButton""]",67,2.8597,space,,,,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,0.5532,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.309863946,-0.483220109,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,90.5586477,5.7315,space,0,2.4733,0,28,28,28,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,0.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,0.303985969,-0.486107337,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,36.87394781,2.5718,space,91.47555487,4.3562,0,29,29,29,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,1.0215
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.30078125,-0.47376019,1,0,0,LeftButton,"[""LeftButton""]",,,,4.587106718,4.2962,space,,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,1.6171,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.304140094,-0.467595109,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,33.36307376,6.8338,space,0,4.6433,0,31,31,31,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,0.5838
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.309890519,-0.485258152,1,0,0,LeftButton,"[""LeftButton""]",,,,2.380899235,3.7149,space,,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,0.3301,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.308046344,-0.489478601,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,24.27667405,3.0079,space,74.67489521,4.6201,0,33,33,33,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,0.2848
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.300685587,-0.477080503,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.317442602,-0.508389946,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,5,2.2163,space,0.3508,3,4.6229,,,,,,0,35,35,35,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.267479804,-0.500016984,1,0,0,LeftButton,"[""LeftButton""]",97,2.5722,space,,,,,,,,,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,0.4024,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.228050595,-0.504025136,1,0,0,LeftButton,"[""LeftButton""]",97,1.9038,space,,,,,,,,,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,0.3306,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.23238733,-0.486345109,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,94,3.6277,space,0.3053,11,6.3559,,,,,,0,38,38,38,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.318223852,-0.504976223,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,36.76711846,2.3662,space,58.82764722,4.6996,0,39,39,39,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,0.7009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.265173257,-0.488680367,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,40,40,40,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_8cvY6RMpIIbMEo3,1,2024-05-10_14h56.10.448,interaction task,2021.2.3,MacIntel,59.88023952,120435,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.316783588,-0.513688859,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,1,5.0304,space,0.319,4,2.82,,,,,,0,41,41,41,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,,
