key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session.order,session_serial,slider_judge_img,face_loop.order
,,,,,,,,0,16,16,6,1,7,image/7.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,16,16,6,1,7,image/7.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,16,16,6,1,7,image/7.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,,,,,,,,,
,,,,,,,,0,17,17,29,1,30,image/30.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,17,17,29,1,30,image/30.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,17,17,29,1,30,image/30.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,,,,,,,,,
,,,,,,,,0,18,18,44,1,45,image/45.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,18,18,44,1,45,image/45.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
,,,,,,,,0,18,18,44,1,45,image/45.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,,,,,,,,,
,,,,,,,,0,19,19,48,1,49,image/49.jpg,R_1BWz2lzoHP6Ecym,2,2024-04-01_11h11.21.605,face trait task,2021.2.3,MacIntel,62.5,0,0,0,1,1,3,1,competent.png,49
