chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2546875,-0.5125,1,0,0,LeftButton,"[""LeftButton""]",50,2.69,space,,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,1.552,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,0.2546875,-0.5075,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,27.43055556,4.482,space,72.72727273,7.483,0,17,17,17,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,0.62,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.225,-0.48,1,0,0,RightButton,"[""RightButton""]",,,,,,,87,2.471,space,4.854,10,7.156,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240625,-0.485,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,56.94444444,4.344,space,74.46338384,6.863,0,19,19,19,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,0.621,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.23125,-0.51,1,0,0,RightButton,"[""RightButton""]",31,3.359,space,,,,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,2.088,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.353125,-0.455,1,0,0,RightButton,"[""RightButton""]",,,,,,,58,4.151,space,1.486,11,8.17,,,,,,0,21,21,21,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.21875,-0.4875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,55,12.26,space,4.122,10,15.476,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2421875,-0.495,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,46.21212121,2.993,space,53.31439394,6.478,0,23,23,23,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,,1.016,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Greater,Smaller,,0.284375,-0.545,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,56.78661616,5.12,space,26.01010101,7.337,0,24,24,24,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,0.488,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5fVxDGEG0OvT1TP,1,2024-04-15_16h39.11.194,interaction task,2021.2.3,MacIntel,28.57142857,120833,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.203125,-0.49,1,0,0,LeftButton,"[""LeftButton""]",,,,3.7421875,4.746,space,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,0.548,,,,,,,,
