chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.304166667,-0.504444444,1,0,0,LeftButton,"[""LeftButton""]",,,,2.458333333,2.23,space,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,,0.11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.275,-0.515555556,1,0,0,RightButton,"[""RightButton""]",,,,2.375,2.137,space,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,0.216,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.301388889,-0.513333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,44.24803591,4.549,space,34.14702581,5.75,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,0.166,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.333333333,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,0,RandomDot15.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.301388889,-0.493333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,47.05387205,1.648,space,27.97418631,2.6,0,16,16,16,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,0.907,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295833333,-0.515555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,17,17,17,1,0,both_right.png,3,RandomDot13.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.283333333,-0.491111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,30,1.952,space,18,4.035,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,0.267,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293055556,-0.531111111,1,0,0,RightButton,"[""RightButton""]",,,,2.472222222,1.503,space,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,0.121,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Greater,Smaller,,0.352777778,-0.491111111,1,0,0,RightButton,"[""RightButton""]",,,,2.520833333,1.402,space,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,0.569,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7eap0FQxb1TrCnY,1,2024-05-04_09h19.11.331,interaction task,2021.2.3,MacIntel,62.5,120456,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.227777778,-0.477777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,44.80920314,5.163,space,24.74747475,2.177,0,21,21,21,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,2.001,,,
