chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.268210941,-0.493710938,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,10.88415846,5.8651,space,31.14065048,9.2169,0,13,13,13,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,1.8536,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,0.244283888,-0.489510362,1,0,0,RightButton,"[""RightButton""]",,,,,,,,40,7.1738,space,19,13.6156,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,0.9526,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,0.220498572,-0.486065131,1,0,0,RightButton,"[""RightButton""]",,,,,4.956881205,5.2011,space,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,2.6687,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,0.201996189,-0.510176188,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,30.28899256,5.2543,space,49.82446399,9.1038,0,16,16,16,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,0.9825,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,0.308137427,-0.504666206,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,11.65348143,3.9696,space,21.03928931,5.3415,0,17,17,17,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,0.9706,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.266336314,-0.496697456,1,0,0,LeftButton,"[""LeftButton""]",50,4.5707,space,0.4215,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.282377116,-0.513338487,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.970017327,2.6116,space,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,1.4707,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Smaller,Greater,,,0.265565236,-0.477994385,1,0,0,RightButton,"[""RightButton""]",,,,,4.952698602,1.4755,space,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.4336,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.259898376,-0.515223117,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,29,6.968,space,10,10.7315,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.7998,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2D6PXoNGiJXqobD,1,2024-04-16_15h13.12.165,interaction task,2021.2.3,MacIntel,60.97560976,120541,,,,,,,,,,,,,,,,Greater,Smaller,,,0.301680925,-0.469771593,1,0,0,RightButton,"[""RightButton""]",,,,,4.965759277,2.6266,space,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,0.7761,,,,,,,,
