chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,0.309549645,-0.545246537,1,0,0,RightButton,"[""RightButton""]",,,,,,,,15,4.5281,space,50,7.66,,,,,,0,16,16,16,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,2.7653,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,0.243665261,-0.517810026,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,97.13710768,4.0908,space,23.88265509,5.3573,0,17,17,17,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,0.3343,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,0.318881242,-0.492507009,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,0.289568866,-0.539072807,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,35.80537101,8.4961,space,81.38298494,7.1717,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,3.5188,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.263098338,-0.526972708,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,41,3.4634,space,40,5.4806,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,1.6393,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.200029969,-0.585566458,0,0,0,,[],,,,,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,,167,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,0.255342675,-0.543937582,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,99.67728709,3.3214,space,0,5.6229,0,22,22,22,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,0.3198,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.284350198,-0.490919772,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.98574117,6.3434,space,0.314362207,8.627,0,23,23,23,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,0.323,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.313269883,-0.50620465,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,1.0177,space,0,2.8262,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,0.2212,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.337100074,-0.499391903,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,25.80853592,2.8488,space,65.87677369,3.6322,0,25,25,25,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,0.4187,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.241861979,-0.545648499,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,3,RandomDot27.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.263759714,-0.52179873,1,0,0,LeftButton,"[""LeftButton""]",0,2.8793,space,2.0178,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,0.339125537,-0.491414495,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,26.6822282,13.6683,space,55.12994111,14.6531,0,28,28,28,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,0.1949,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.246837798,-0.529353562,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,99.95233836,3.2992,space,0.614465588,4.4798,0,29,29,29,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,0.407,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.278464988,-0.53345564,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.003167369,6.975,space,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,0.6121,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,0.298332093,-0.543329485,1,0,0,RightButton,"[""RightButton""]",,,,,2.64645854,2.6054,space,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,,0.9781,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.275783317,-0.522654189,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,1,9.682,space,32,5.5148,,,,,,0,32,32,32,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,5.9467,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.316912616,-0.519232355,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,33,33,33,1,0,both_right.png,2,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,0.314210276,-0.533331959,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,0.288835152,-0.538619311,1,0,0,RightButton,"[""RightButton""]",49,3.7522,space,2.1646,,,,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,0.280216601,-0.486405425,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,36,36,36,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.207010582,-0.514563407,1,0,0,LeftButton,"[""LeftButton""]",0,2.2203,space,0.7343,,,,,,,,,,,,,,0,37,37,37,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.261475901,-0.508276303,1,0,0,LeftButton,"[""LeftButton""]",0,1.7561,space,0.3476,,,,,,,,,,,,,,0,38,38,38,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.314329117,-0.533713308,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.020053117,2.9904,space,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,1.1558,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.279565559,-0.506987962,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.99015687,2.3265,space,,,,,,,,,,,0,40,40,40,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,1.4614,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.253864914,-0.490198301,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,41,41,41,1,0,both_right.png,0,RandomDot20.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_71Et5V1BaqiJuoR,1,2024-05-01_12h19.00.253,interaction task,2021.2.3,MacIntel,59.88023952,120783,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.237960896,-0.537413423,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.972640749,2.1944,space,,,,,,,,,,,,,,,,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,0.2102,,0,0,0,0,1
