chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,0.276388889,-0.544444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,39.61840629,6.837,space,80.72390572,9.63,0,15,15,15,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,0.637,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2875,-0.486666667,1,0,0,LeftButton,"[""LeftButton""]",,,,4.958333333,3.099,space,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,0.852,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.222222222,-0.477777778,1,0,0,LeftButton,"[""LeftButton""]",60,3.661,space,,,,,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,0.463,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.318055556,-0.484444444,1,0,0,LeftButton,"[""LeftButton""]",,,,4.979166667,2.451,space,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,0.464,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2625,-0.5,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,74.83164983,6.212,space,38.77665544,9.678,0,19,19,19,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,0.353,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,0.302777778,-0.497777778,1,0,0,RightButton,"[""RightButton""]",57,5.076,space,,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,1.522,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.266666667,-0.5,1,0,0,LeftButton,"[""LeftButton""]",83,2.839,space,,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,1.033,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.302777778,-0.513333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,65,3.691,space,0.354,65,7.51,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Smaller,Greater,,0.365277778,-0.486666667,1,0,0,RightButton,"[""RightButton""]",90,2.176,space,,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,0.293,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5rCBwHBJTpvkpb3,1,2024-04-16_17h08.31.266,interaction task,2021.2.3,MacIntel,58.82352941,120815,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.270833333,-0.484444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,66.27384961,4.242,space,34.98877666,6.587,0,24,24,24,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,0.527,,,,,,
