﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.364583302,-0.531481595,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.235416698,-0.475926039,1,0,0,RightButton,"[""RightButton""]",67,1.4053,space,,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,0.3754,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.25,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,3.1875,3.3929,space,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,,0.9294,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.297916698,-0.540740797,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.357291698,-0.474074131,1,0,0,RightButton,"[""RightButton""]",,,,3.515625,2.3206,space,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,,2.1176,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.26875,-0.535185242,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.277083302,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",,,,3.510416985,1.5576,space,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,0.669,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.230208302,-0.498148261,1,0,0,LeftButton,"[""LeftButton""]",24,1.6709,space,,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,0.4036,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.227083302,-0.542592706,1,0,0,LeftButton,"[""LeftButton""]",45,1.5998,space,,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,0.3516,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.289583397,-0.548148261,1,0,0,RightButton,"[""RightButton""]",,,,3.4375,2.0105,space,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,0.5707,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,一 一,1,2024-05-31_00h54.48.586,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.3375,-0.511111111,1,0,0,LeftButton,"[""LeftButton""]",,,,3.140625,1.8436,space,,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,0.3741,,,,,,,,,,
