﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.262643945,-0.527777823,1,0,0,LeftButton,"[""LeftButton""]",3,1.3028,space,,,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,,0.4376,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.26654948,-0.516666712,1,0,0,LeftButton,"[""LeftButton""]",23,5.6189,space,,,,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,4.1109,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.248584191,-0.491666711,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,17,3.2591,space,11,4.1885,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.425,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,0.253661432,-0.506944489,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,38.04917488,2.2146,space,74.3355066,3.4079,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,0.3325,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.246240898,-0.477777822,1,0,0,LeftButton,"[""LeftButton""]",65,2.6026,space,,,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,,0.8415,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,0.322398104,-0.537500046,1,0,0,RightButton,"[""RightButton""]",,,,,,,72,2.1738,space,22,4.8529,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,1.1751,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,-0.299355574,-0.497222267,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,9,2.2898,space,9,2.9742,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,1.174,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,小于,大于,,0.286467525,-0.54444449,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,23,23,23,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.27279826,-0.495833378,1,0,0,LeftButton,"[""LeftButton""]",,,,1.732721551,5.7556,space,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,1.0829,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sppq,1,2024-05-31_02h06.47.945,interaction task chi,2021.2.3,Win32,165.0165017,,,,,,,,,,,,,,,,,大于,小于,,-0.278265942,-0.526388934,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,65.10615763,1.3049,space,19.1960627,2.4763,0,25,25,25,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,1.0455,,,,,,,,,,,,
