﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.317708333,-0.52037037,1,0,0,RightButton,"[""RightButton""]",33,2.5352,space,,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,1.9542,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.245833333,-0.47962963,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,17,17,17,1,0,both_right.png,2,RandomDot15.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.285416667,-0.503703704,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,61.57407407,3.0688,space,0.8784,2.02020202,4.2128,0,18,18,18,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,-0.302083333,-0.537037037,1,0,0,LeftButton,"[""LeftButton""]",,,,1.989583333,4.4449,space,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,0.9912,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.3,-0.544444444,1,0,0,RightButton,"[""RightButton""]",,,,0.026041667,1.9125,space,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,1.0445,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,-0.279166667,-0.503703704,1,0,0,LeftButton,"[""LeftButton""]",60,3.0968,space,,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,0.9411,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.320833333,-0.501851852,1,0,0,RightButton,"[""RightButton""]",,,,,,,52,3.1688,space,44,4.1048,,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,1.1107,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,0.271875,-0.485185185,1,0,0,RightButton,"[""RightButton""]",,,,,,,51,3.3914,space,50,4.3912,,,,,,,0,23,23,23,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,1.9079,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,大于,小于,,,0.271875,-0.518518519,1,0,0,RightButton,"[""RightButton""]",82,2.1619,space,,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,0.7956,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,快乐修勾,1,2024-05-31_24h54.01.204,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,小于,大于,,,0.2625,-0.496296296,1,0,0,RightButton,"[""RightButton""]",,,,,,,67,1.9991,space,38,2.9278,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,1.1007,,,,,,,,,,,,
