﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,0.314583333,-0.487037037,1,0,0,RightButton,"[""RightButton""]",,,,,,,96,2.0212,space,0.9023,8,4.0602,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,-0.30625,-0.538888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,44.94949495,2.8103,space,39.8989899,5.1918,0,15,15,15,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,0.8483,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,0.323958333,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,2.958333333,2.3666,space,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,1.1603,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,0.276041667,-0.525925926,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,57.47053872,2.1694,space,36.21632997,3.8922,0,17,17,17,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,0.5176,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,-0.282291667,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",,,,3.541666667,3.6511,space,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,1.2161,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,0.316666667,-0.490740741,1,0,0,RightButton,"[""RightButton""]",51,3.7185,space,,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,2.3081,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,0.289583333,-0.52037037,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,71.04377104,2.269,space,44.63383838,3.3358,0,20,20,20,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,,1.2889,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,0.302083333,-0.512962963,1,0,0,RightButton,"[""RightButton""]",,,,3.6875,2.2741,space,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,1.0036,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,-0.291666667,-0.498148148,1,0,0,LeftButton,"[""LeftButton""]",,,,4.239583333,1.4147,space,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,0.8631,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,-0.335416667,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,59,3.2008,space,0.8688,12,4.9715,,,,,,0,23,23,23,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,-0.278125,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,0.295833333,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,25,25,25,1,0,both_right.png,2,RandomDot2.png,No answer,20,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,0.353125,-0.483333333,1,0,0,RightButton,"[""RightButton""]",19,2.5299,space,,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,1.033,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,0.267708333,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,3.244791667,1.6316,space,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,1,RandomDot23.png,No answer,21,0.7124,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,-0.285416667,-0.518518519,1,0,0,LeftButton,"[""LeftButton""]",,,,3.822916667,2.4637,space,,,,,,,,,,,,0,28,28,28,1,3,only_sub_wrong.png,1,RandomDot40.png,No answer,19,1.1134,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,0.279166667,-0.525925926,1,0,0,RightButton,"[""RightButton""]",29,2.787,space,,,,,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,0.6222,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,-0.28125,-0.538888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,30,30,30,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,小于,大于,,-0.308333333,-0.501851852,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,5,2.2062,space,2.521,20,7.4147,,,,,,0,31,31,31,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,用户30686,1,2024-05-31_00h53.32.680,interaction task chi,2021.2.3,Win32,74.62686567,,,,,,,,,,,,,,,,,大于,小于,,0.291666667,-0.516666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,23,3.2643,space,0.7216,13,4.5924,,,,,,0,32,32,32,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,,,,,,,,,,,,
