﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,key_share.rt,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.220509671,-0.534607454,1,0,0,RightButton,"[""RightButton""]",,,,,,,71,2.7441,space,40,4.3978,,,,,,0,15,15,15,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,1.0591,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.252595156,-0.474690177,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,56,2.3956,space,37,4.3952,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,0.4323,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.258257381,-0.499483629,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,17,17,17,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.265806944,-0.487086903,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,47.5238652,3.2482,space,66.31642346,5.1005,0,18,18,18,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,0.8482,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.285939042,-0.495351271,1,0,0,RightButton,"[""RightButton""]",,,,4.803576436,1.6491,space,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,,0.3398,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.240012568,-0.49121926,1,0,0,LeftButton,"[""LeftButton""]",57,2.2781,space,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,0.4046,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.282793302,-0.495351271,1,0,0,LeftButton,"[""LeftButton""]",,,,4.904141932,1.7298,space,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,,0.2715,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.282793302,-0.487086903,1,0,0,LeftButton,"[""LeftButton""]",,,,4.992136874,2.47,space,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,,1.6876,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.24567474,-0.466425636,1,0,0,RightButton,"[""RightButton""]",58,2.3661,space,,,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,0.4488,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.30607114,-0.501549634,1,0,0,RightButton,"[""RightButton""]",,,,,,,73,2.282,space,34,4.8996,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,1.8685,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.267694229,-0.501549634,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,33.55642181,3.2724,space,47.77781581,5.0379,0,25,25,25,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,0.8276,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.348852032,-0.536673806,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,34.06432836,1.8474,space,52.34898007,3.2977,0,26,26,26,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,0.3677,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.343818849,-0.513946533,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,27,27,27,1,0,both_right.png,1,RandomDot7.png,No answer,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.285309841,-0.495351271,1,0,0,LeftButton,"[""LeftButton""]",,,,3.973910299,1.715,space,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,,0.286,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.232463005,-0.466425636,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,55.39643001,1.8974,space,39.14339917,2.7532,0,29,29,29,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,0.9028,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.285309841,-0.499483629,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,49.04759017,2.5465,space,68.09409904,3.9467,0,30,30,30,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,0.3452,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.338785772,-0.48088854,1,0,0,RightButton,"[""RightButton""]",69,1.5465,space,,,,,,,,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,0.5485,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.255740789,-0.516012365,1,0,0,RightButton,"[""RightButton""]",37,2.2668,space,,,,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,0.3509,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.260144666,-0.49741745,1,0,0,LeftButton,"[""LeftButton""]",,,,4.954424681,1.7464,space,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,0.4351,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,0.37150051,-0.507747997,1,0,0,RightButton,"[""RightButton""]",57,2.2589,space,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,0.5646,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.303554654,-0.516012365,1,0,0,RightButton,"[""RightButton""]",,,,,,,41,2.1713,space,22,3.7908,,,,,,0,35,35,35,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,0.3472,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.285309841,-0.516012365,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,63,1.5656,space,24,2.3152,,,,,,0,36,36,36,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,0.1982,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.242529001,-0.48088854,1,0,0,LeftButton,"[""LeftButton""]",,,,3.898485912,5.0719,space,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,0.2852,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.277760278,-0.478822535,1,0,0,LeftButton,"[""LeftButton""]",41,2.2815,space,,,,,,,,,,,,,,0,38,38,38,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,0.1979,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,小于,大于,,-0.25762818,-0.516012365,1,0,0,LeftButton,"[""LeftButton""]",57,3.5112,space,,,,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,0.8138,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,0.361434461,-0.49741745,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,40,40,40,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,大于,小于,,-0.234979544,-0.49121926,1,0,0,LeftButton,"[""LeftButton""]",,,,3.973910299,1.4405,space,,,,,,,,,,,0,41,41,41,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,,0.4331,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,繁星点点,1,2024-05-31_01h00.12.988,interaction task chi,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.92499951,8.747,4.06249997,12.6195,4.981249622,14.5613,2.981250091,16.2455,space,17.2486
