﻿chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_apology.rt,incompleteTrials,slider_friendly.response,slider_friendly.rt,slider_trustworthy.response,slider_trustworthy.rt,slider_competence.response,slider_competence.rt,slider_critical.response,slider_critical.rt,key_resp.keys,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran,key_resp.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.280218803,-0.509528349,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.253270798,-0.547016634,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,81,3.666,space,77,4.9842,,,,,,0,15,15,15,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,1.7192,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.258347979,-0.513277177,0,0,0,,[],,,,,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,,90,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.320445226,-0.497032216,1,0,0,LeftButton,"[""LeftButton""]",52,3.4337,space,,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,4.7395,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.339582161,-0.513277177,1,0,0,RightButton,"[""RightButton""]",,,,3.001757155,2.9079,space,2.2602,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.268502341,-0.518275539,1,0,0,RightButton,"[""RightButton""]",,,,,,,,71,7.9663,space,69,8.5245,,,,,,0,19,19,19,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,,0.6758,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,小于,大于,,0.319273579,-0.522024367,1,0,0,RightButton,"[""RightButton""]",77,2.4324,space,,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,2.1505,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,-0.285295841,-0.495782568,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,83,3.1024,space,83,2.221,,,,,,0,21,21,21,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,,1.7102,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,0.323960164,-0.54076851,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,30.63413996,2.1819,space,58.55883687,3.3894,0,22,22,22,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,1.1765,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,好运跟着来呗,1,2024-05-31_00h56.40.663,interaction task chi,2021.2.3,Win32,123.4567901,,,,,,,,,,,,,,,,,大于,小于,,0.321616872,-0.525773196,1,0,0,RightButton,"[""RightButton""]",,,,3.029089988,1.9447,space,1.2311,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,,,,,,,,,,,,,,,,
