chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.280341199,-0.51875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,49,8.2725,space,79,3.7626,,,,,,,0,14,14,14,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,,4.6704,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.269786352,-0.489665948,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,57,1.2568,space,71,10.5354,,,,,,,0,15,15,15,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,0.9016,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.235645196,-0.4903125,1,0,0,LeftButton,"[""LeftButton""]",,,,4.986607143,2.9137,space,,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,0.6681,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,116,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,,130,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,,127,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,,,,132,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,,68,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Greater,Smaller,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,,185,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_61d7Su0GZhtK1nx,1,2024-05-26_21h38.19.404,interaction task,2021.2.3,MacIntel,59.52380952,120983,,,,,,,,,,,,,,,,,Smaller,Greater,,0.486229804,0.892715517,0,0,0,,[],,,,,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,,177,,,,,
