chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.273837878,-0.518758191,1,0,0,RightButton,"[""RightButton""]",,,,0.92379476,11.3545,space,,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot11.png,No answer,20,,,1.2643,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,0.294852579,-0.523734436,1,0,0,RightButton,"[""RightButton""]",,,,1.967754189,6.0482,space,,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,,0.8796,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.277615802,-0.464725999,1,0,0,LeftButton,"[""LeftButton""]",23,3.5957,space,,,,,,,,,,,,,,,0,13,13,13,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,2.1334,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.222230207,-0.516730832,1,0,0,RightButton,"[""RightButton""]",,,,,,,7,2.4214,space,61,3.7987,,,,,,,0,14,14,14,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,3.5666,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.292624836,-0.504730505,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,12,5.9526,space,40,7.0854,,,,,,,0,15,15,15,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,1.0334,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281106275,-0.53150598,0,0,0,,[],,,,,,,,,,,,,,,,,,0,16,16,16,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,202,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.247341081,-0.496057913,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,27.28288967,5.8075,space,0.4338,34.0305154,6.8216,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.304461646,-0.532857552,1,0,0,LeftButton,"[""LeftButton""]",15,1.8432,space,,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,0.3687,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Greater,Smaller,,0.199377875,-0.471821756,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,20.46163839,2.4823,space,0.7008,46.42449462,3.3956,0,19,19,19,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_75PkJGK4ZpN5clP,1,2024-05-12_15h34.05.728,interaction task,2021.2.3,MacIntel,60.24096386,120298,,,,,,,,,,,,,,,,,Smaller,Greater,,0.24981521,-0.517744512,1,0,0,RightButton,"[""RightButton""]",,,,1.082405963,3.628,space,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,0.6507,,,,,,
