chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.325058873,-0.535059543,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,29.0645304,4.3548,space,0.3006,27.55975862,5.1204,0,23,23,23,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.250416989,-0.525717502,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,18,10.6558,space,33,9.5519,,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,0.0679,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.313802338,-0.53559299,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,23.98343926,2.8048,space,0.1537,32.08804832,1.4382,0,25,25,25,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.257563951,0.262773166,0,0,0,,[],,,,,,,,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,,,104,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,0.307926008,-0.523916558,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,11.05553727,2.5901,space,0.1004,30.37303578,1.407,0,27,27,27,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.330023702,-0.54035414,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,25.66405531,2.5019,space,0.2669,17.12114139,1.3708,0,28,28,28,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Smaller,Greater,,,0.259662628,-0.540474175,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,29,29,29,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,0.280481381,-0.518918728,1,0,0,RightButton,"[""RightButton""]",11,1.8574,space,,,,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,0.3337,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.306585566,-0.541847331,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,20,2.6397,space,31,3.7553,,,,,,,0,31,31,31,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,0.2517,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2M3BSrq6ZzSs0t3,1,2024-05-18_17h41.23.560,interaction task,2021.2.3,MacIntel,61.72839506,120533,,,,,,,,,,,,,,,,Greater,Smaller,,,0.253923967,-0.546119927,1,0,0,,[],,,,,,,,,,,,,,,,,,0,32,32,32,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,,182,,,,,
