chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.296701389,-0.532734375,1,0,0,LeftButton,"[""LeftButton""]",90,3.1761,space,,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,0.6852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.310915799,-0.4909375,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,60.51859743,4.4793,space,0.4012,29.71303749,5.6556,0,19,19,19,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.26569553,-0.461423611,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,72.0186895,1.7395,space,0.653,29.36943217,2.7009,0,20,20,20,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.272797309,-0.482699653,1,0,0,RightButton,"[""RightButton""]",71,2.4406,space,,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,0.8534
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.285400391,-0.539609375,1,0,0,LeftButton,"[""LeftButton""]",81,3.677,space,,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,1.8379
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.246739366,-0.505815972,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,69,1.455,space,30,2.5394,,,,,,,0,23,23,23,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,0.6846,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.222412109,-0.482873264,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,67,3.1363,space,39,4.4276,,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,0.5992,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,0.226052517,-0.456831597,1,0,0,RightButton,"[""RightButton""]",65,1.5812,space,,,,,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,,1.6356
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.30866428,-0.527065972,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,3,RandomDot27.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.253168403,-0.483871528,1,0,0,LeftButton,"[""LeftButton""]",,,,2.037299262,1.4387,space,,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,0.2839,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5jfA4GJL7XpO7KM,1,2024-05-31_19h33.20.303,interaction task,2021.2.3,MacIntel,60.0024001,120594,,,,,,,,,,,,,,,,,Greater,Smaller,,0.226502821,-0.530451389,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,28,28,28,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
