chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.238474395,-0.495592949,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.31542476,-0.498041311,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.226144677,-0.531517094,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,93.27775739,7.1816,space,9.341300237,6.1483,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,4.719,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.275897137,-0.498197115,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.494442167,5.6935,space,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,1.1009
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.300887677,-0.526408921,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.253902308,-0.542167468,1,0,0,LeftButton,"[""LeftButton""]",12,7.0289,space,4.4514,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.284553166,-0.511574074,1,0,0,RightButton,"[""RightButton""]",,,,,2.536579213,5.1997,space,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,1.637
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.283859422,-0.521879452,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,31,11.5229,space,29,10.1738,,,,,,0,22,22,22,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,3.2631,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,0.250764695,-0.502003205,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,9.4707,space,0,11.6793,0,23,23,23,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,,0.9507,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.35537809,-0.539173789,1,0,0,RightButton,"[""RightButton""]",,,,,2.493732656,1.6199,space,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,0.9174
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.250875063,-0.497874377,1,0,0,RightButton,"[""RightButton""]",,,,,,,,21,3.4864,space,19,5.563,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,1.3848,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,0.271821393,-0.526531339,1,0,0,RightButton,"[""RightButton""]",0,5.5402,space,0.8005,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,0.322622351,-0.506521546,1,0,0,RightButton,"[""RightButton""]",0,8.591,space,3.5354,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.24689392,-0.546129363,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,31,7.0239,space,15,9.674,,,,,,0,28,28,28,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,2.5163,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.235502334,-0.537281873,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,3.2674,space,10,5.56,,,,,,0,29,29,29,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,0.7004,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3ekubxwa9Ik5zUP,1,2024-05-16_01h26.23.465,interaction task,2021.2.3,MacIntel,59.88023952,120739,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.261194501,-0.460614761,1,0,0,LeftButton,"[""LeftButton""]",,,,,2.53417476,4.8736,space,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,0.9673
