chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.259243181,-0.508625624,1,0,0,LeftButton,"[""LeftButton""]",,,,0.171991136,2.0224,space,,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,,,0.7035,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.295800357,-0.495786133,1,0,0,LeftButton,"[""LeftButton""]",3,1.8209,space,,,,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,0.4672,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,0.275478872,-0.532850884,1,0,0,RightButton,"[""RightButton""]",,,,0.162893507,1.4174,space,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,0.7068,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.325061247,-0.485668267,1,0,0,LeftButton,"[""LeftButton""]",,,,0.052492142,1.6461,space,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,0.5008,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.334321721,-0.506039497,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,3.17,space,99,4.8927,,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,0.7261,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.38938463,-0.511351047,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,98.2079263,3.4502,space,0.7343,0.351638023,4.9115,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.287535773,-0.522081163,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,97.754855,2.1631,space,0.5888,1.941501947,3.4666,0,20,20,20,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.317351151,-0.517660048,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,4,5.8023,space,96,7.8455,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,0.2237,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.203007423,-0.516801893,1,0,0,RightButton,"[""RightButton""]",,,,,,,1,2.9012,space,98,4.3281,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,0.5676,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5Oxl4uaiGfTi56L,1,2024-05-30_11h25.47.071,interaction task,2021.2.3,MacIntel,56.17977528,120513,,,,,,,,,,,,,,,,Smaller,Greater,,,0.275006273,-0.526297879,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,98.57763083,4.6539,space,0.2335,1.099751105,5.8697,0,23,23,23,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,,,,,,,
