chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,clicked_guilt,incompleteTrials,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,judge.clicked_name,key_apology.rt,key_share.rt,key_forgiveness.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.268055556,-0.491111111,1,0,0,"[""LeftButton""]",,21,2.556,space,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,LeftButton,,,,0.493,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.316666667,-0.513333333,1,0,0,"[""LeftButton""]",,60,5.889,space,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,LeftButton,,,,2.718,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.241666667,-0.522222222,1,0,0,"[""RightButton""]",,,,,2.430555556,3.152,space,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,RightButton,,2.335,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295833333,-0.475555556,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,81.00448934,5.283,space,20.95959596,6.798,0,25,25,25,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,LeftButton,,,0.67,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.290277778,-0.491111111,1,0,0,"[""RightButton""]",,59,5.844,space,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,RightButton,,,,1.923,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.326388889,-0.511111111,1,0,0,"[""RightButton""]",,0,2.406,space,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,RightButton,,,,0.408,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.294444444,-0.506666667,1,0,0,"[""RightButton""]",,,,,0.972222222,2.235,space,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,RightButton,,0.636,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.366666667,-0.511111111,1,0,0,"[""RightButton""]",,,,,,,,,,,,,99.66329966,4.047,space,1.038159371,6.963,0,29,29,29,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,RightButton,,,2.371,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.276388889,-0.52,1,0,0,"[""LeftButton""]",,,,,,,,49,5.722,space,15,7.334,,,,,,0,30,30,30,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,LeftButton,0.504,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.320833333,-0.484444444,1,0,0,"[""RightButton""]",,48,4.705,space,,,,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,RightButton,,,,1.455,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240277778,-0.52,1,0,0,"[""RightButton""]",,,,,,,,,,,,,98.4006734,2.883,space,1.459034792,4.264,0,32,32,32,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,RightButton,,,0.571,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269444444,-0.531111111,1,0,0,"[""RightButton""]",,0,2.323,space,,,,,,,,,,,,,,0,33,33,33,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,RightButton,,,,0.587,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.326388889,-0.504444444,1,0,0,"[""RightButton""]",,0,2.492,space,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,RightButton,,,,0.687,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.316666667,-0.48,1,0,0,"[""LeftButton""]",,,,,0.979166667,2.764,space,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,LeftButton,,0.511,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,0.279166667,-0.491111111,1,0,0,"[""RightButton""]",,,,,3,1.952,space,,,,,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,RightButton,,0.554,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.243055556,-0.535555556,1,0,0,"[""RightButton""]",,,,,,,,49,5.8,space,20,7.229,,,,,,0,37,37,37,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,RightButton,0.703,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.2625,-0.488888889,1,0,0,"[""RightButton""]",,,,,2.041666667,2.369,space,,,,,,,,,,,0,38,38,38,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,RightButton,,0.386,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.369444444,-0.52,1,0,0,"[""LeftButton""]",,,,,0.979166667,7.356,space,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,LeftButton,,2.342,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.359722222,-0.495555556,1,0,0,"[""LeftButton""]",,,,,,,,0,3.769,space,0,6.083,,,,,,0,40,40,40,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,LeftButton,1.088,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.329166667,-0.508888889,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,41,41,41,1,0,both_right.png,1,RandomDot8.png,No answer,21,LeftButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25,-0.488888889,1,0,0,"[""RightButton""]",,,,,,,,,,,,,,,,,,,,,,,0,both_right.png,0,RandomDot20.png,No answer,19,RightButton,,,,,0,0,0,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3zJ5QiBCzzLGrFb,1,2024-04-14_15h53.54.832,interaction task,2021.2.3,MacIntel,58.82352941,120769,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.301388889,-0.517777778,1,0,0,"[""LeftButton""]",,,,,,,,70,2.847,space,31,4.616,,,,,,,,,,,3,only_sub_wrong.png,2,RandomDot38.png,No answer,21,LeftButton,0.355,,,,0,1,1,0,1
