key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,key_resp_2.keys,key_resp_2.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,participant,session,date,expName,psychopyVersion,OS,frameRate,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session_serial,slider_judge_img
,,,,,,3,0.9236,0,1,1,28,1,29,image/29.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,1.5315,0,2,2,19,1,20,image/20.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.8585,0,3,3,40,1,41,image/41.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.5266,0,4,4,38,1,39,image/39.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,0.9311,0,5,5,33,1,34,image/34.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,141.2662,0,6,6,34,1,35,image/35.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,1.0596,0,7,7,36,1,37,image/37.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,4,0.6584,0,8,8,25,1,26,image/26.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,1.1769,0,9,9,8,1,9,image/9.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,3.2695,0,10,10,0,1,1,image/1.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,5,11.5092,0,11,11,13,1,14,image/14.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,4,8.5939,0,12,12,24,1,25,image/25.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,1,7.2581,0,13,13,15,1,16,image/16.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.292,0,14,14,42,1,43,image/43.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,3,0.3475,0,15,15,22,1,23,image/23.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
,,,,,,2,0.2803,0,16,16,27,1,28,image/28.jpg,R_7dS7fGcto4aBF0E,2,2024-04-01_20h39.36.389,face trait task,2021.2.3,Win32,60.24096386,,,,,,,
