chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,0.196999783,-0.496996528,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,91.65132225,5.5133,space,30.90222976,3.4633,0,19,19,19,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,2.3214,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.212310113,-0.490894097,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,82.33123334,2.4121,space,17.33064148,3.4659,0,20,20,20,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,0.7415,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,0.297688802,-0.521727431,1,0,0,RightButton,"[""RightButton""]",,,,,,,5,6.4612,space,9,7.8654,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,,,0.724,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.219151476,-0.505512153,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,94.08341225,6.0304,space,7.703664247,7.0296,0,22,22,22,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,1.0391,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.065521918,-0.441822917,0,0,0,,[],,,,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,,,135,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.288726128,-0.490295139,1,0,0,RightButton,"[""RightButton""]",,,,,,,2,8.099,space,21,11.9786,,,,,,0,24,24,24,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,,0.573,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.334988064,-0.519192708,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,25,25,25,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.299956597,-0.510859375,1,0,0,RightButton,"[""RightButton""]",0,4.4803,space,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,0.1441,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.283132595,-0.486067708,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,27,27,27,1,0,both_right.png,1,RandomDot36.png,No answer,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6qDGpWVB0cADqOv,1,2024-05-23_09h54.36.985,interaction task,2021.2.3,MacIntel,59.88023952,120715,,,,,,,,,,,,,,,,,Greater,Smaller,,0.338840061,-0.492196181,1,0,0,RightButton,"[""RightButton""]",,,,,,,4,6.7784,space,13,7.6816,,,,,,0,28,28,28,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,,0.7063,,,,,,
