chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.307506396,-0.47499123,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,0.335357273,-0.461149439,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.265880848,-0.51992224,1,0,0,LeftButton,"[""LeftButton""]",10,3.872,space,,,,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,0.6676,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25703125,-0.541013798,1,0,0,RightButton,"[""RightButton""]",,,,0.989583333,5.679,space,0.8727,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,0.28327394,-0.520148796,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,29.63276774,3.5889,space,68.48298408,5.5478,0,18,18,18,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,0.3798
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,0.27400402,-0.505831969,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.86524603,3.3927,space,67.91720199,4.9418,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,,,0.8533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259365863,-0.492041335,1,0,0,LeftButton,"[""LeftButton""]",60,2.3879,space,,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,0.6514,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301781798,-0.476905987,1,0,0,RightButton,"[""RightButton""]",70,2.4392,space,,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,0.7334,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.263573648,-0.486370147,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,39.89991287,8.4905,space,70.19002156,5.025,0,22,22,22,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,,,0.4346
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1dEQmznFrOUMB26,1,2024-05-17_18h48.13.896,interaction task,2021.2.3,MacIntel,58.13953488,120760,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.264400585,-0.468362664,1,0,0,LeftButton,"[""LeftButton""]",,,,4.983552632,2.2701,space,1.2161,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,
