chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.222412109,-0.514071181,1,0,0,LeftButton,"[""LeftButton""]",54,12.2256,space,1.557,,,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.253634983,-0.533958333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,38,2.144,space,58,1.4349,,,,,,0,24,24,24,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,,0.909,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,0.324679905,-0.481015625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,25,25,25,1,0,both_right.png,2,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.251540799,-0.503289931,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,1,RandomDot30.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.315342882,-0.535555556,1,0,0,RightButton,"[""RightButton""]",,,,,2.01304796,1.7497,space,,,,,,,,,,,0,27,27,27,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.8226,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,0.116238064,-0.483289931,0,0,0,,[],,,,,,,,,,,,,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,,124,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.385167101,-0.521215278,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,29,29,29,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.294227431,-0.525434028,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,52,1.6807,space,58,2.3495,,,,,,0,30,30,30,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,0.5179,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,0.313932292,-0.509713542,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,3.8753,space,38,4.5594,,,,,,0,31,31,31,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,0.4587,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5NFLSVTrP1bwEtb,1,2024-05-29_19h27.37.718,interaction task,2021.2.3,MacIntel,60.24096386,120981,,,,,,,,,,,,,,,,,Smaller,Greater,,0.313226997,-0.483993056,1,0,0,RightButton,"[""RightButton""]",,,,,2.991183811,5.5862,space,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,0.6293,,,,,,,
