chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.248323652,-0.495800781,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,89.95565292,3.7029,space,69.59785093,5.6788,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,1.5911,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.234918637,-0.534442546,1,0,0,RightButton,"[""RightButton""]",,,,4.725828383,5.5498,space,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,2.0379,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,0.208411577,-0.073661024,0,0,0,,[],,,,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,,83,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,0.231114536,-0.518297797,1,0,0,RightButton,"[""RightButton""]",,,,4.417344835,3.8543,space,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,,1.0714,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.283420139,-0.494417996,1,0,0,RightButton,"[""RightButton""]",,,,4.683671739,3.1462,space,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,0.8205,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.277645026,-0.529527181,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,81.12387952,1.5254,space,53.6262144,2.7954,0,19,19,19,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,2.6698,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.292333561,-0.48861518,1,0,0,RightButton,"[""RightButton""]",,,,,,,81,1.4607,space,20,4.06,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,0.7912,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,0.269424862,-0.52322998,1,0,0,RightButton,"[""RightButton""]",,,,,,,88,2.9786,space,17,6.1817,,,,,,0,21,21,21,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,0.767,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,0.24168574,-0.533101942,1,0,0,RightButton,"[""RightButton""]",11,5.0324,space,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,,,1.9194,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Smaller,Greater,,,0.257956017,-0.487649197,1,0,0,RightButton,"[""RightButton""]",,,,4.449486627,2.016,space,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,0.9323,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.285638343,-0.545528429,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,0,RandomDot36.png,No answer,21,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_13m40r672zQl4g7,1,2024-05-07_19h54.17.167,interaction task,2021.2.3,MacIntel,58.13953488,120734,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.264213392,-0.506733127,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,91,20.1794,space,12,21.6506,,,,,,0,25,25,25,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,0.8045,,,,,,,,
