chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,incompleteTrials,key_forgiveness.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.298294005,-0.494955842,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.219223002,-0.499753736,0,0,0,,[],,,,,,,,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,91,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,0.260395408,-0.531734035,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,17,17,17,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,0.254809736,-0.521102242,1,0,0,RightButton,"[""RightButton""]",0,3.4801,space,1.5407,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,0.271800595,-0.534069293,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,100,6.5899,space,0,29.9734,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,,,16.8476,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.268563988,-0.50748981,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,100,4.6126,space,0,8.032,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,1.3681,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283094175,-0.523318614,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,3.9723,space,0,8.4845,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,3.5507,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.34019983,-0.489818274,1,0,0,LeftButton,"[""LeftButton""]",0,2.4281,space,0.4786,,,,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Smaller,Greater,,0.28494898,-0.526570992,1,0,0,RightButton,"[""RightButton""]",,,,,0.996572066,6.9356,space,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,0.6177,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_809hAgXHcl3WkRr,1,2024-05-20_11h34.54.831,interaction task,2021.2.3,MacIntel,59.88023952,120223,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.251775085,-0.516448709,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,49,2.7869,space,50,6.4759,,,,,,0,24,24,24,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,0.7081,,,,,,,,
