chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_share.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297222222,-0.497777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297222222,-0.495555556,1,0,0,LeftButton,"[""LeftButton""]",,,,4.965277778,2.517,space,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,0.365,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.272222222,-0.522222222,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,100,1.998,space,0.84,0,3.348,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.288888889,-0.508888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,99,1.949,space,0.9,3,3.249,,,,,,0,19,19,19,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.298611111,-0.468888889,1,0,0,LeftButton,"[""LeftButton""]",30,3.567,space,,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,,2.608,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244444444,-0.537777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,0,7.532,space,0.945,98,12.597,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.279166667,-0.535555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,9,5.832,space,0.954,98,8.451,,,,,,0,22,22,22,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318055556,-0.504444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,54.91642085,7.378,space,42.84884241,9.711,0,23,23,23,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,0.84,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.769911504,0.841746248,0,0,0,,[],,,,,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,74,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.330555556,-0.531707317,1,0,0,RightButton,"[""RightButton""]",,,,4.745575221,3.161,space,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,0.707,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.300884956,-0.503410641,1,0,0,RightButton,"[""RightButton""]",7,2.769,space,,,,,,,,,,,,,,,0,26,26,26,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,,1.008,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.334070796,-0.53888131,1,0,0,LeftButton,"[""LeftButton""]",30,2.389,space,,,,,,,,,,,,,,,0,27,27,27,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,,0.707,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.267699115,-0.522510232,1,0,0,RightButton,"[""RightButton""]",,,,,,,17,3.131,space,0.613,77,3.982,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.325221239,-0.522510232,1,0,0,RightButton,"[""RightButton""]",,,,,,,5,3.388,space,0.626,89,4.433,,,,,,0,29,29,29,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.309734513,-0.470668486,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,4.187896666,2.249,space,90.22526146,3.382,0,30,30,30,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,0.873,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.338495575,-0.487039563,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.32300885,-0.527967258,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,32,32,32,1,0,both_right.png,1,RandomDot29.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.298672566,-0.533424284,1,0,0,LeftButton,"[""LeftButton""]",18,2.488,space,,,,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,,0.957,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.292035398,-0.05047749,0,0,0,,[],,,,,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,101,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269911504,-0.525238745,1,0,0,RightButton,"[""RightButton""]",,,,4.819444444,8.223,space,,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,1.458,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,89,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,0,RandomDot14.png,No answer,19,,51,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,0,38,38,38,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,154,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,0,39,39,39,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,66,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,0,40,40,40,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,64,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,0,41,41,41,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,149,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,149,,,0,0,0,5,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,1,both_wrong.png,2,RandomDot16.png,No answer,20,,149,,,0,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,149,,,0,2,2,2,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3HGNQtHAhV6oD0K,1,2024-05-30_16h27.19.049,interaction task,2021.2.3,MacIntel,30.3030303,120486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.455555556,0.92195122,0,0,0,,[],,,,,,,,,,,,,,,,,,,,,,,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,149,,,0,3,3,8,1
