chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.315999349,-0.500817419,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,38,3.6983,space,9,6.0094,,,,,,0,29,29,29,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,0.7077
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.243851273,-0.477727141,1,0,0,RightButton,"[""RightButton""]",32,2.7995,space,0.6565,,,,,,,,,,,,,,0,30,30,30,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.299587674,-0.48990162,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.285979094,-0.501482928,1,0,0,RightButton,"[""RightButton""]",,,,,2.518627025,3.1133,space,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,0.6094,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.268125181,-0.527112269,1,0,0,LeftButton,"[""LeftButton""]",41,2.6633,space,0.2776,,,,,,,,,,,,,,0,33,33,33,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.277257849,-0.515697338,1,0,0,LeftButton,"[""LeftButton""]",30,2.3691,space,0.2267,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,0.289663809,-0.520876736,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,35,35,35,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.283709491,-0.501736111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,56,5.4381,space,32,11.3418,,,,,,0,36,36,36,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,1.073
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297711408,-0.541666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,48.98480245,7.4222,space,40.1864237,9.5397,0,37,37,37,1,3,only_sub_wrong.png,3,RandomDot3.png,No answer,19,0.0828,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,0.214423286,-0.53692853,1,0,0,RightButton,"[""RightButton""]",,,,,,,,44,3.8093,space,4,5.5249,,,,,,0,38,38,38,1,1,both_wrong.png,2,RandomDot9.png,No answer,21,,,1.0834
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.262546115,-0.531582755,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,48,3.5623,space,11,6.144,,,,,,0,39,39,39,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,0.3191
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Smaller,Greater,,0.252970378,-0.46745515,1,0,0,RightButton,"[""RightButton""]",,,,,2.552105939,5.6335,space,,,,,,,,,,,0,40,40,40,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,0.4687,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7lxhI87CHabQjfc,1,2024-05-07_20h22.45.226,interaction task,2021.2.3,MacIntel,120.0048002,120766,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.255199291,-0.517860243,1,0,0,LeftButton,"[""LeftButton""]",20,2.9446,space,0.7656,,,,,,,,,,,,,,0,41,41,41,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,
