chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.285809576,-0.539427912,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,81.26799796,2.4302,space,15.06180223,3.4932,0,14,14,14,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,1.2386,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.268745431,-0.505130379,1,0,0,RightButton,"[""RightButton""]",25,1.8875,space,,,,,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,1.1765,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.323857822,-0.523218253,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.323771016,-0.497654058,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,77.76900954,2.2947,space,17.97562614,3.4476,0,17,17,17,1,2,only_sub_right.png,3,RandomDot23.png,No answer,20,1.3149,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.291808297,-0.494365353,1,0,0,RightButton,"[""RightButton""]",19,2.0114,space,,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,1.3366,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.263144189,-0.479982753,1,0,0,RightButton,"[""RightButton""]",,,,,,,,23,1.6513,space,27,2.3656,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,2.4416,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Smaller,Greater,,0.283465826,-0.541152654,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.20982486,1.7969,space,20.88160479,2.6888,0,20,20,20,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,1.2302,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.245719115,-0.534063669,1,0,0,RightButton,"[""RightButton""]",,,,,,,,35,1.5215,space,35,2.5442,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot18.png,No answer,19,,1.73,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.231757127,-0.495636986,1,0,0,RightButton,"[""RightButton""]",,,,4.909288194,4.273,space,1.1525,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6ef1Z01PGngUI9H,1,2024-05-29_20h21.57.310,interaction task,2021.2.3,MacIntel,60.0024001,121582,,,,,,,,,,,,,,,,,Greater,Smaller,,0.281784539,-0.487130203,1,0,0,RightButton,"[""RightButton""]",,,,,,,,32,1.1426,space,33,1.9008,,,,,,0,23,23,23,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,0.8224,,,,,,,
