chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240549045,-0.5215625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,91,4.8245,space,44,11.094,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,0.6731
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.254942491,-0.481770833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,80,6.1781,space,14,12.8157,,,,,,0,17,17,17,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,2.7572
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269498698,-0.523125,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,8.929025498,4.7807,space,94.86159336,6.8814,0,18,18,18,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,1.0464,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.247547743,-0.521779514,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,21.05549856,7.4671,space,89.58366214,13.945,0,19,19,19,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,9.249,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.232161458,-0.460555556,1,0,0,RightButton,"[""RightButton""]",97,2.0907,space,,,,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,0.9296,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.247433811,-0.515381944,1,0,0,LeftButton,"[""LeftButton""]",,,,2.978705512,5.0615,space,0.7853,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.244509549,-0.4796875,1,0,0,LeftButton,"[""LeftButton""]",,,,2.039577908,3.2694,space,0.6691,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.28148329,-0.459140625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,0,both_right.png,0,RandomDot36.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.206814236,-0.515625,1,0,0,RightButton,"[""RightButton""]",,,,,,,,71,7.4309,space,48,11.2976,,,,,,0,24,24,24,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,,4.6545
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.259917535,-0.520034722,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,0.655096977,3.8492,space,96.93637767,5.6816,0,25,25,25,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,0.4339,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313058811,-0.487239583,1,0,0,LeftButton,"[""LeftButton""]",99,2.6053,space,,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,1.2373,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.277452257,-0.494973958,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,27,27,27,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.287158203,-0.501293403,1,0,0,RightButton,"[""RightButton""]",,,,2.455973307,5.0677,space,1.7636,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.249994575,-0.489427083,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,29,29,29,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.278895399,-0.510946181,1,0,0,LeftButton,"[""LeftButton""]",91,1.3184,space,,,,,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,1.4493,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.28984375,-0.495824653,1,0,0,LeftButton,"[""LeftButton""]",,,,3.02102322,2.5674,space,1.5573,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,0.297498915,-0.526866319,1,0,0,RightButton,"[""RightButton""]",,,,,,,,48,5.3339,space,12,2.7674,,,,,,0,32,32,32,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,,0.4953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.274435764,-0.496310764,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,44.5017668,4.7596,space,67.90145377,2.1479,0,33,33,33,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,0.5865,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.31304796,-0.541605903,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,19.39172541,4.3822,space,87.3083044,2.9484,0,34,34,34,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,0.5311,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.270703125,-0.477092014,1,0,0,LeftButton,"[""LeftButton""]",,,,2.001274957,2.4959,space,0.5901,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.223725043,-0.483116319,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,36,36,36,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.288785807,-0.475460069,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,80,7.8115,space,92,3.4963,,,,,,0,37,37,37,1,1,both_wrong.png,2,RandomDot16.png,No answer,20,,,0.7735
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.267833116,-0.496050347,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,38,38,38,1,0,both_right.png,1,RandomDot5.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.348725043,-0.493506944,1,0,0,LeftButton,"[""LeftButton""]",,,,1.520182292,2.178,space,0.7678,,,,,,,,,,,0,39,39,39,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.28821072,-0.531892361,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,76,5.5155,space,99,2.6827,,,,,,0,40,40,40,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,1.9519
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_53TWARpLPmUzLYZ,1,2024-05-28_11h48.30.681,interaction task,2021.2.3,MacIntel,59.88023952,120542,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.249864366,-0.504435764,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,90,5.3353,space,92,6.9663,,,,,,0,41,41,41,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,0.6227
