chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.28125,-0.488888917,1,0,0,RightButton,"[""RightButton""]",,,,,,,85,2.6906,space,9,1.9004,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,1.2046,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.254166683,-0.524074131,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,30,30,30,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.304166714,-0.490740741,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,31,31,31,1,0,both_right.png,2,RandomDot39.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.282291651,-0.509259259,1,0,0,LeftButton,"[""LeftButton""]",12,1.7462,space,,,,,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,0.871
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.293750048,-0.512963048,1,0,0,RightButton,"[""RightButton""]",,,,,,,9,1.1821,space,15,2.013,,,,,,,0,33,33,33,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,,0.8117,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.252083381,-0.538888861,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,34,34,34,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.340625008,-0.474074046,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,35,35,35,1,0,both_right.png,0,RandomDot34.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.319791635,-0.466666751,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,28,2.3208,space,10,3.2666,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,0.3808,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.319791635,-0.537037037,1,0,0,LeftButton,"[""LeftButton""]",1,1.4437,space,,,,,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,,0.7738
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.328125,-0.503703788,1,0,0,RightButton,"[""RightButton""]",5,1.137,space,,,,,,,,,,,,,,,0,38,38,38,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,0.8104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Smaller,Greater,,0.260416667,-0.527777778,1,0,0,RightButton,"[""RightButton""]",,,,0.276041627,1.221,space,,,,,,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,0.7453,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,0.266666651,-0.503703788,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,9.490740741,0.9543,space,0.525,10.01683502,1.5756,0,40,40,40,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2KyfqZxEJXtBkzL,1,2024-05-12_11h08.05.096,interaction task,2021.2.3,Win32,59.88023952,120416,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.273958286,-0.487037094,1,0,0,LeftButton,"[""LeftButton""]",13,0.8505,space,,,,,,,,,,,,,,,0,41,41,41,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,0.8739
