chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Smaller,Greater,,0.337612067,-0.527236735,1,0,0,RightButton,"[""RightButton""]",,,,,,,,9,6.3076,space,89,10.3601,,,,,,0,5,5,5,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,20,,1.036,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,0.310294257,-0.502886556,1,0,0,RightButton,"[""RightButton""]",10,3.0093,space,0.8022,,,,,,,,,,,,,,0,6,6,6,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29324095,-0.49762085,1,0,0,RightButton,"[""RightButton""]",,,,,1.000340144,5.9149,space,,,,,,,,,,,0,7,7,7,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,0.6509,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,0.293642849,-0.492182346,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.28989226,6.2711,space,39.66738511,9.5344,0,8,8,8,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,0.7013
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Smaller,Greater,,0.263513777,-0.491897786,1,0,0,RightButton,"[""RightButton""]",6,2.7491,space,0.5714,,,,,,,,,,,,,,0,9,9,9,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,0.279695638,-0.491610786,1,0,0,RightButton,"[""RightButton""]",,,,,,,,11,3.9765,space,78,6.8135,,,,,,0,10,10,10,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,0.4513,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.285142432,-0.503021783,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,6,3.6427,space,91,5.965,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,0.6357,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.207257165,-0.489586046,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.045109431,5.35,space,,,,,,,,,,,0,12,12,12,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,0.5846,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283611467,-0.535566135,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,6,2.7627,space,79,4.164,,,,,,0,13,13,13,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,0.4342,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3g0YlMh4uWQIm91,1,2024-04-21_12h01.40.998,interaction task,2021.2.3,MacIntel,60.60606061,119713,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.308513811,-0.492851563,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.000935872,3.542,space,,,,,,,,,,,0,14,14,14,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,0.3164,,
