chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,0.339648438,-0.487742265,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,30.30763363,1.2179,space,30.36901129,4.3191,0,4,4,4,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,0.8909,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.269053819,-0.51785873,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,33,1.445,space,39,2.4036,,,,,,0,5,5,5,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,,0.8024,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.290353733,-0.490553876,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,34,2.2691,space,33,1.376,,,,,,0,6,6,6,1,2,only_sub_right.png,2,RandomDot20.png,No answer,20,,0.8331,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.241330295,-0.507434655,1,0,0,LeftButton,"[""LeftButton""]",37,1.9396,space,1.2417,,,,,,,,,,,,,,0,7,7,7,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.23203125,-0.536228663,1,0,0,LeftButton,"[""LeftButton""]",39,1.7106,space,1.1691,,,,,,,,,,,,,,0,8,8,8,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.283213976,-0.530649893,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,39,2.9034,space,40,4.3225,,,,,,0,9,9,9,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,0.5217,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,0.285997179,-0.521370466,1,0,0,RightButton,"[""RightButton""]",37,1.21,space,0.9389,,,,,,,,,,,,,,0,10,10,10,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,0.257850477,-0.506823435,1,0,0,RightButton,"[""RightButton""]",,,,,4.969211155,13.9794,space,,,,,,,,,,,0,11,11,11,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,1.8785,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.26546224,-0.516736309,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,47.99864969,2.6835,space,46.36227729,4.2993,0,12,12,12,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,0.8019,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1m9l4nPkPn7qKin,1,2024-05-31_15h42.14.918,interaction task,2021.2.3,MacIntel,59.88023952,120318,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.24225803,-0.544885757,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,34,1.4518,space,35,2.2686,,,,,,0,13,13,13,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,0.7499,,,,,,,
