chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.279166667,-0.455555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,0.897867565,1.678,space,1.038159371,3.216,0,14,14,14,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,1.078,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,0.272222222,-0.457777778,1,0,0,RightButton,"[""RightButton""]",,,,2.465277778,7.15,space,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,0.706,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.266666667,-0.524444444,1,0,0,LeftButton,"[""LeftButton""]",,,,0.041666667,7.4,space,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,,3.468,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322222222,-0.535555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.66329966,10.85,space,2.02020202,11.998,0,17,17,17,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,1.638,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.169444444,-0.517777778,0,0,0,,[],,,,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,,,183,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.222222222,-0.52,1,0,0,RightButton,"[""RightButton""]",,,,,,,6,1.419,space,3,2.549,,,,,,0,19,19,19,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,0.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2625,-0.491111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,20,20,20,1,0,both_right.png,2,RandomDot2.png,No answer,20,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.305555556,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,0.0625,6.049,space,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,,,0.886,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.243055556,-0.513333333,1,0,0,RightButton,"[""RightButton""]",0,2.407,space,,,,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,0.388,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.225,-0.475555556,1,0,0,LeftButton,"[""LeftButton""]",0,1.956,space,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,0.268,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.218055556,-0.475555556,1,0,0,LeftButton,"[""LeftButton""]",,,,2.631944444,1.485,space,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,,0.669,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,0.305555556,-0.52,1,0,0,RightButton,"[""RightButton""]",,,,4.986111111,2.087,space,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,0.337,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_15ZREkpd1fiWnv8,1,2024-05-30_18h04.50.700,interaction task,2021.2.3,MacIntel,62.5,119707,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2375,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",98,1.803,space,,,,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,,0.554,,,,,,,
