chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.24875217,-0.515425347,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,16,2.8297,space,20,3.9896,,,,,,0,14,14,14,1,2,only_sub_right.png,2,RandomDot34.png,No answer,20,1.3857,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.306618924,-0.504479167,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,16,3.2278,space,22,4.1574,,,,,,0,15,15,15,1,1,both_wrong.png,2,RandomDot13.png,No answer,21,0.8065,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.322151693,-0.461050347,1,0,0,RightButton,"[""RightButton""]",,,,,3.20977105,2.2076,space,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,0.7199,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.243207465,-0.474756944,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,50.20879367,5.5067,space,36.80160985,7.9727,0,17,17,17,1,1,both_wrong.png,3,RandomDot12.png,No answer,21,,,1.1079
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.263503689,-0.544418403,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,40.61524534,2.8181,space,33.43679854,4.0612,0,18,18,18,1,3,only_sub_wrong.png,3,RandomDot8.png,No answer,21,,,0.6221
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.287532552,-0.510416667,1,0,0,RightButton,"[""RightButton""]",,,,,3.139973958,1.7073,space,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,0.5235,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.255365668,-0.495217014,1,0,0,RightButton,"[""RightButton""]",25,5.2485,space,0.4339,,,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.239756944,-0.502439236,1,0,0,RightButton,"[""RightButton""]",,,,,2.845648872,1.5615,space,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,0.4461,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.277875434,-0.514782986,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,48.67380401,4.0404,space,40.35987041,5.4054,0,22,22,22,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,1.0851
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25242513,-0.524835069,1,0,0,RightButton,"[""RightButton""]",,,,,2.639322917,1.3571,space,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,1,RandomDot8.png,No answer,21,,0.5871,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.306108941,-0.522534722,1,0,0,RightButton,"[""RightButton""]",,,,,,,,29,2.2559,space,26,3.1909,,,,,,0,24,24,24,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,0.6203,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.217626953,-0.523524306,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.58296068,3.6231,space,42.71962244,4.5413,0,25,25,25,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,0.4722
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.232226563,-0.538602431,1,0,0,LeftButton,"[""LeftButton""]",54,3.3223,space,0.7356,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.270388455,-0.480329861,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,49.87669665,2.1608,space,46.59025147,3.3563,0,27,27,27,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,0.7173
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.249419488,-0.527977431,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,46.61874825,2.8702,space,38.35797208,3.8547,0,28,28,28,1,3,only_sub_wrong.png,3,RandomDot7.png,No answer,19,,,0.568
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Smaller,Greater,,0.226850043,-0.527387153,1,0,0,RightButton,"[""RightButton""]",47,3.4621,space,0.5896,,,,,,,,,,,,,,0,29,29,29,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5PyR4YVF9PC296x,1,2024-05-14_09h54.51.733,interaction task,2021.2.3,MacIntel,59.88023952,120210,,,,,,,,,,,,,,,,,Greater,Smaller,,0.227902561,-0.491996528,1,0,0,RightButton,"[""RightButton""]",72,4.133,space,0.506,,,,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,
