chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,0.282465278,-0.508758681,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,91.77900972,2.8241,space,7.610501719,3.8513,0,17,17,17,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,0.4081
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,0.269439019,-0.491032986,1,0,0,RightButton,"[""RightButton""]",,,,2.099012587,3.0713,space,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,0.7763,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Smaller,Greater,,0.324077691,-0.516770833,1,0,0,RightButton,"[""RightButton""]",0,2.74,space,,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,0.6538,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.264051649,-0.514409722,1,0,0,LeftButton,"[""LeftButton""]",3,2.196,space,,,,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,0,RandomDot9.png,No answer,19,0.3679,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.230881076,-0.511310764,1,0,0,LeftButton,"[""LeftButton""]",,,,0.110758464,2.9242,space,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,7.8032,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.245263672,-0.525173611,1,0,0,LeftButton,"[""LeftButton""]",2,2.0629,space,,,,,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,0.6381,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,0.279334852,-0.542213542,1,0,0,RightButton,"[""RightButton""]",,,,,,,52,2.5902,space,0.5784,3,3.9765,,,,,,0,23,23,23,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,0.289463976,-0.534956597,1,0,0,RightButton,"[""RightButton""]",,,,0.311469184,2.0836,space,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.5283,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.243077257,-0.519748264,1,0,0,LeftButton,"[""LeftButton""]",,,,0.131971571,1.7744,space,,,,,,,,,,,,0,25,25,25,1,2,only_sub_right.png,1,RandomDot6.png,No answer,21,,0.3585,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3hlnjdAbx50vJ5l,1,2024-05-31_22h07.55.289,interaction task,2021.2.3,MacIntel,60.24096386,120532,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318115234,-0.520737847,1,0,0,RightButton,"[""RightButton""]",,,,,,,2,4.2332,space,1.0094,96,6.4146,,,,,,0,26,26,26,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,,
