chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297634957,-0.543183484,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,73,6.6554,space,40,8.2836,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,0.4247
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281570782,-0.497501872,1,0,0,RightButton,"[""RightButton""]",,,,,2.894912985,3.2547,space,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,0.2389,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.2815707,-0.531763114,1,0,0,LeftButton,"[""LeftButton""]",81,2.8922,space,0.5011,,,,,,,,,,,,,,0,18,18,18,1,3,only_sub_wrong.png,0,RandomDot5.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.276216029,-0.493219216,1,0,0,RightButton,"[""RightButton""]",,,,,3.158188581,3.8415,space,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,0.9169,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.266398929,-0.527480458,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,88.17740646,4.8674,space,7.67582113,6.6771,0,20,20,20,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,0.3509,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.283355672,-0.498929336,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.250334672,-0.534618173,1,0,0,LeftButton,"[""LeftButton""]",,,,,3.211736105,2.4415,space,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,0.9841,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.240517653,-0.501784527,1,0,0,RightButton,"[""RightButton""]",,,,,,,,51,2.8867,space,23,3.9674,,,,,,0,23,23,23,1,1,both_wrong.png,2,RandomDot21.png,No answer,20,,,0.3002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.282463186,-0.473233405,1,0,0,RightButton,"[""RightButton""]",,,,,3.12248996,2.8872,space,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,0.3207,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.208389139,-0.474661,1,0,0,RightButton,"[""RightButton""]",81,3.9805,space,1.6181,,,,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.313699214,-0.497501872,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,26,26,26,1,0,both_right.png,2,RandomDot23.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.236055387,-0.498929336,1,0,0,RightButton,"[""RightButton""]",26,3.9616,space,2.1065,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot21.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Smaller,Greater,,0.272646167,-0.511777302,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,90.97196868,2.5831,space,8.216705205,4.7148,0,28,28,28,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,1.0847,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dZ8IU3hLSkW652,1,2024-05-23_15h52.28.339,interaction task,2021.2.3,Win32,60.60606061,120798,,,,,,,,,,,,,,,,,Greater,Smaller,,0.236947791,-0.510349837,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,29,29,29,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,
