chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.285476345,-0.505737847,1,0,0,LeftButton,"[""LeftButton""]",,,,3.064073351,3.3024,space,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,1.1115,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,0.306011285,-0.525164931,1,0,0,RightButton,"[""RightButton""]",,,,3.07180447,2.2691,space,,,,,,,,,,,,0,28,28,28,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,2.2997,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Greater,Smaller,,,0.30696072,-0.527361111,1,0,0,RightButton,"[""RightButton""]",,,,,,,1,4.3508,space,68,10.8347,,,,,,,0,29,29,29,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,1.4776,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Greater,Smaller,,,0.338905165,-0.531050347,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,30,30,30,1,0,both_right.png,1,RandomDot7.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.300737847,-0.541310764,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,99.55314867,3.6323,space,0.6259,8.299904426,6.2494,0,31,31,31,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.326752387,-0.505989583,1,0,0,LeftButton,"[""LeftButton""]",80,2.3207,space,,,,,,,,,,,,,,,0,32,32,32,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,0.2406,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.413243273,-0.539861111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,51,5.1607,space,50,6.1666,,,,,,,0,33,33,33,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,0.1427,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,0.2722602,-0.513585069,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,99.48903093,3.1439,space,0.579,5.160875246,5.3678,0,34,34,34,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.246592882,-0.52546875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,2.6283,space,0,7.5468,,,,,,,0,35,35,35,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,0.338,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_12tSZmx8hSuXu6d,1,2024-05-11_19h32.08.923,interaction task,2021.2.3,MacIntel,59.52380952,120748,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.334863281,-0.544774306,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,17.8123,space,49,20.0518,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,0.6111,,,,,,
