chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_forgiveness.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.348611111,-0.508888889,1,0,0,RightButton,"[""RightButton""]",18,2.402,space,,,,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,,,3.768
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3,-0.52,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,66.83501684,6.395,space,20.95959596,13.828,0,15,15,15,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,1.008,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.265277778,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",39,4.303,space,,,,,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,1.47
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.288888889,-0.535555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,50,1.829,space,8.77,45,9.515,,,,,,0,17,17,17,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,0.268055556,-0.54,1,0,0,RightButton,"[""RightButton""]",46,3.103,space,,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,0.999
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273611111,-0.544444444,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,3,RandomDot18.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273611111,-0.544444444,1,0,0,LeftButton,"[""LeftButton""]",37,4.002,space,,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,1.862
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301388889,-0.52,1,0,0,RightButton,"[""RightButton""]",,,,,,,28,3.397,space,1.022,13,9.349,,,,,,0,21,21,21,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.256944444,-0.537777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,32.88439955,3.995,space,16.75084175,5.68,0,22,22,22,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,1.012,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.236111111,-0.526666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,54.48933782,6.329,space,38.21548822,11.896,0,23,23,23,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,1.433,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,0.330555556,-0.517777778,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.243055556,-0.491111111,1,0,0,LeftButton,"[""LeftButton""]",45,6.602,space,,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,2.921
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_54voFul3k9D7bqr,1,2024-04-10_21h22.22.773,interaction task,2021.2.3,MacIntel,29.41176471,120747,,,,,,,,,,,,,,,,,Greater,Smaller,,0.356944444,-0.484444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,73,6.695,space,0.421,10,11.212,,,,,,0,26,26,26,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,
