chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_forgiveness.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.312309009,-0.490546084,1,0,0,RightButton,"[""RightButton""]",,,,,,,72,2.1144,space,1.1182,40,4.113,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.314540341,-0.502889284,1,0,0,RightButton,"[""RightButton""]",,,,,,,70,2.8445,space,0.7934,35,4.9707,,,,,,0,17,17,17,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.228120474,-0.515904042,1,0,0,LeftButton,"[""LeftButton""]",37,2.3846,space,,,,,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,1.0098,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.344403407,-0.51370351,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,5,both_right.png,10,RandomDot42.png,RightButton,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.264116233,-0.480697589,1,0,0,RightButton,"[""RightButton""]",,,,,,,82,1.8304,space,0.8381,52,3.5113,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.31565987,-0.515612449,1,0,0,LeftButton,"[""LeftButton""]",,,,0.648946433,3.8694,space,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,,,1.1474,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.404021744,-0.52724661,1,0,0,LeftButton,"[""LeftButton""]",,,,1.792425081,4.3241,space,,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,0.9536,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.303820312,-0.517050472,1,0,0,LeftButton,"[""LeftButton""]",44,3.3245,space,,,,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,1.0524,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.269196661,-0.490780425,1,0,0,LeftButton,"[""LeftButton""]",,,,1.107953503,3.9934,space,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,,0.8746,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lSB76siDkwnBL3,1,2024-05-13_09h36.43.608,interaction task,2021.2.3,Linux x86_64,60.24096386,120201,,,,,,,,,,,,,,,,Greater,Smaller,,,0.36746271,-0.541431524,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,41.48355299,2.9571,space,49.86129979,4.3141,0,25,25,25,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,0.3077,,,,,,,
