chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.311564626,-0.5,1,0,0,RightButton,"[""RightButton""]",75,2.369,space,,,,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,0.485,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.273469388,-0.515217391,1,0,0,RightButton,"[""RightButton""]",,,,,,,52,2.991,space,50,3.902,,,,,,0,31,31,31,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,,1.1,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.263945578,-0.484782609,1,0,0,RightButton,"[""RightButton""]",,,,0.037414966,3.744,space,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,0.183,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.293877551,-0.482608696,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,66.76630248,3.865,space,35.29512815,4.675,0,33,33,33,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,,,,0.716,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.340136054,-0.523913043,1,0,0,RightButton,"[""RightButton""]",,,,1.098639456,2.202,space,,,,,,,,,,,0,34,34,34,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,0.434,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.22585034,-0.504347826,1,0,0,LeftButton,"[""LeftButton""]",,,,2.078231293,2.532,space,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,0.402,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,0.282993197,-0.493478261,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,31.85941043,4.289,space,56.45914932,9.931,0,36,36,36,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,,,,3.424,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.278911565,-0.504347826,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,21.27739985,4.114,space,92.32804233,8.289,0,37,37,37,1,1,both_wrong.png,3,RandomDot7.png,No answer,21,,,,1.139,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.311564626,-0.536956522,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,0,38,38,38,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.270748299,-0.495652174,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,39,39,39,1,0,both_right.png,0,RandomDot2.png,No answer,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.253061224,-0.541304348,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,35.43255686,4.225,space,73.08802309,5.322,0,40,40,40,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,,0.25,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.315646259,-0.539130435,1,0,0,LeftButton,"[""LeftButton""]",57,5.802,space,,,,,,,,,,,,,,0,41,41,41,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,0.335,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1YUzjPBvYVnwzBL,1,2024-04-16_22h20.27.527,interaction task,2021.2.3,MacIntel,58.82352941,120484,,,,,,,,,,,,,,,,,Greater,Smaller,,0.270748299,-0.506521739,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,29.38569367,2.082,space,84.49460592,2.856,,,,,,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,0.467,,0,0,0,0,1
