chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,incompleteTrials,key_apology.rt,key_guilt.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,0.3267804,-0.508245584,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,13,13,13,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.349856505,-0.502122962,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,60.20193431,4.6608,space,39.50602968,8.197,0,14,14,14,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,0.5685,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,0.251025723,-0.474796196,1,0,0,RightButton,"[""RightButton""]",,,,4.47563244,4.0505,space,1.5368,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,0.263658588,-0.49876019,1,0,0,RightButton,"[""RightButton""]",,,,,,,,90,3.8499,space,89,7.0794,,,,,,0,16,16,16,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,1.068,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,0.246768707,-0.489622962,1,0,0,RightButton,"[""RightButton""]",39,6.4641,space,,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,,0.8224,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.228093112,-0.485071332,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,88.99539614,5.55,space,28.67922421,8.7332,0,18,18,18,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,0.7245,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.250419855,-0.519276495,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,32.34738971,6.2947,space,38.40552635,8.7978,0,19,19,19,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,0.4942,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.266996173,-0.502938179,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,59,5.4887,space,73,8.7071,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,0.4287,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.224053997,-0.487134851,1,0,0,LeftButton,"[""LeftButton""]",15,4.0178,space,,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,,0.5383,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.235055272,-0.517229959,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,89.53222703,3.7231,space,21.44381743,8.2518,0,22,22,22,1,1,both_wrong.png,3,RandomDot17.png,No answer,21,1.3354,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Smaller,Greater,,0.227875213,-0.532277514,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5LgU1eXqKtcFTuL,1,2024-04-17_02h27.19.964,interaction task,2021.2.3,MacIntel,30.03003003,120216,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.311601828,-0.499159307,0,0,0,,[],,,,,,,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,19,,160,,,,,,,
