chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,key_guilt.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.260614934,-0.541666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,80,5.5056,space,30,6.8099,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,0.8293,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.257686676,-0.533854167,1,0,0,LeftButton,"[""LeftButton""]",60,4.5858,space,,,,,,,,,,,,,,0,17,17,17,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,,0.5382
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.259150805,-0.4765625,1,0,0,LeftButton,"[""LeftButton""]",,,,2.595168375,6.9199,space,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,0.5558,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.298682284,-0.533854167,1,0,0,RightButton,"[""RightButton""]",60,3.9754,space,,,,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,0,RandomDot33.png,No answer,21,,,,0.7194
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,0.357247438,-0.4765625,1,0,0,RightButton,"[""RightButton""]",,,,2.521961933,2.4928,space,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,0.3126,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.225475842,-0.544270833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,90.96602925,3.0497,space,16.28066906,6.2737,0,21,21,21,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,1.6576,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.244509517,-0.5234375,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,3,RandomDot13.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.395314788,-0.497395833,1,0,0,RightButton,"[""RightButton""]",57,3.7345,space,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,,0.8774
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,0.250366032,-0.502604167,1,0,0,RightButton,"[""RightButton""]",,,,2.5,2.9254,space,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,1,RandomDot6.png,No answer,20,0.5666,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_742eAVEWlciGtQU,1,2024-05-31_18h13.05.067,interaction task,2021.2.3,Win32,60.60606061,120825,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.257686676,-0.458333333,1,0,0,LeftButton,"[""LeftButton""]",,,,2.997803807,1.8,space,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,0.2527,,,
