chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.241666667,-0.497777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,99,2.347,space,69,3.719,,,,,,0,15,15,15,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,,,1.035
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.265277778,-0.497777778,1,0,0,RightButton,"[""RightButton""]",,,,4.979166667,2.367,space,,,,,,,,,,,0,16,16,16,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,,0.689,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.277777778,-0.475555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,90,6.286,space,48,12.295,,,,,,0,17,17,17,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,,,,5.269
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.288888889,-0.506666667,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,71.60493827,2.761,space,70.62289562,4.826,0,18,18,18,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,3.4,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.276388889,-0.52,1,0,0,RightButton,"[""RightButton""]",60,4.639,space,,,,,,,,,,,,,,0,19,19,19,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,2.328,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.258333333,-0.533333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,65.15151515,6.015,space,69.21997755,8.058,0,20,20,20,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,4.993,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.286111111,-0.517777778,1,0,0,LeftButton,"[""LeftButton""]",38,4.219,space,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,2.322,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.245833333,-0.488888889,1,0,0,LeftButton,"[""LeftButton""]",62,2.189,space,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,0.503,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.327777778,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,23,23,23,1,0,both_right.png,2,RandomDot25.png,No answer,20,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.327777778,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,1,RandomDot28.png,No answer,21,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.236111111,-0.54,1,0,0,RightButton,"[""RightButton""]",,,,4.965277778,4.434,space,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,0.717,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.279166667,-0.531111111,1,0,0,RightButton,"[""RightButton""]",80,2.422,space,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,0.427,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.270833333,-0.488888889,1,0,0,RightButton,"[""RightButton""]",,,,4.965277778,2.63,space,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,1,RandomDot3.png,No answer,20,,0.56,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.323611111,-0.535555556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,59.53984287,11.478,space,61.64421998,12.712,0,28,28,28,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,,,1.991,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.315277778,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,29,29,29,1,0,both_right.png,0,RandomDot20.png,No answer,19,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.322222222,-0.504444444,1,0,0,RightButton,"[""RightButton""]",,,,4.965277778,1.717,space,,,,,,,,,,,0,30,30,30,1,2,only_sub_right.png,1,RandomDot3.png,No answer,19,,0.61,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.298611111,-0.526666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,61,2.982,space,58,3.945,,,,,,0,31,31,31,1,1,both_wrong.png,2,RandomDot8.png,No answer,20,,,,0.86
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.336111111,-0.502222222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,88.2996633,4.378,space,81.56565657,6.716,0,32,32,32,1,2,only_sub_right.png,3,RandomDot8.png,No answer,19,,,0.388,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295833333,-0.535555556,1,0,0,RightButton,"[""RightButton""]",,,,4.986111111,1.52,space,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,0.288,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,0.263888889,-0.533333333,1,0,0,RightButton,"[""RightButton""]",53,3.438,space,,,,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,0.195,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.291666667,-0.52,1,0,0,RightButton,"[""RightButton""]",61,2.539,space,,,,,,,,,,,,,,0,35,35,35,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,0.218,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.356944444,-0.473333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,78,3.679,space,39,9.329,,,,,,0,36,36,36,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,,3.402
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.275,-0.504444444,1,0,0,LeftButton,"[""LeftButton""]",,,,4.958333333,2.82,space,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.194,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.243055556,-0.526666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,81.84624018,1.617,space,80.1627385,2.628,0,38,38,38,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,1.688,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.209722222,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",79,4.538,space,,,,,,,,,,,,,,0,39,39,39,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,0.487,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.269444444,-0.504444444,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,40.31986532,5.762,space,62.0650954,8.082,0,40,40,40,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,1.035,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7PpRpKeBBPUcMUJ,1,2024-05-31_15h11.58.729,interaction task,2021.2.3,MacIntel,30.3030303,120738,,,,,,,,,,,,,,,,,Smaller,Greater,,0.25,-0.511111111,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,75.11223345,2.677,space,65.29180696,1.93,0,41,41,41,1,1,both_wrong.png,3,RandomDot29.png,No answer,19,,,0.44,
