chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.227906977,-0.545833333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,75,12.3429,space,29,18.2593,,,,,,0,13,13,13,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,2.2763,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.001162791,-0.998611111,0,0,0,,[],,,,,,,,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,,171,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Smaller,Greater,,,0.325581395,-0.505555556,1,0,0,RightButton,"[""RightButton""]",55,1.6952,space,2.3624,,,,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,0,RandomDot16.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.28255814,-0.55,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,65,0.8865,space,31,1.979,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,1.5623,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.295348837,-0.538888889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,66.091144,2.2689,space,32.55813953,0.9979,0,17,17,17,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,2.119,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.209883721,-0.5125,1,0,0,RightButton,"[""RightButton""]",,,,,2.979651163,1.2375,space,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,1,RandomDot28.png,No answer,21,,,1.3644,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.259302326,-0.495833333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,51,1.983,space,50,1.1786,,,,,,0,19,19,19,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,1.0411,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.054069767,-0.466666667,0,0,0,,[],,,,,,,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,,136,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.26744186,-0.541666667,1,0,0,RightButton,"[""RightButton""]",54,0.9058,space,1.1251,,,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,0,RandomDot26.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.262790698,-0.558333333,0,0,0,,[],,,,,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,,59,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.279069767,-0.545833333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,63.33098426,1.3367,space,44.47968053,0.8265,0,23,23,23,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,,0.8739,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Greater,Smaller,,,0.275,-0.543055556,1,0,0,RightButton,"[""RightButton""]",,,,,,,,52,1.4622,space,40,0.7638,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,0.6868,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_31XdkdkFfWXTP68,1,2024-05-25_16h00.03.236,interaction task,2021.2.3,Win32,119.047619,120326,,,,,,,,,,,,,,,,Smaller,Greater,,,0.277906977,-0.520833333,1,0,0,RightButton,"[""RightButton""]",50,1.1509,space,1.6854,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,0,RandomDot23.png,No answer,20,,,,,,,,,
