chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_guilt.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,0.334488932,-0.506657986,1,0,0,RightButton,"[""RightButton""]",,,,,,,,88,2.5402,space,39,4.1903,,,,,,0,15,15,15,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,,1.316,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.315831163,-0.5196875,1,0,0,LeftButton,"[""LeftButton""]",,,,2.838812934,2.8043,space,1.2213,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.301660156,-0.536006944,1,0,0,LeftButton,"[""LeftButton""]",,,,3.265760634,5.6744,space,1.9445,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.261588542,-0.542213542,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,75.92822759,3.7219,space,50.4937614,5.988,0,18,18,18,1,1,both_wrong.png,3,RandomDot40.png,No answer,21,2.6065,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,0.345795356,-0.498081597,1,0,0,RightButton,"[""RightButton""]",70,2.3292,space,,,,,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,2.563,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,0.31188151,-0.458862847,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,20,20,20,1,5,both_right.png,10,RandomDot42.png,RightButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,0.307025825,-0.508767361,1,0,0,RightButton,"[""RightButton""]",,,,3.484103733,6.0265,space,5.4926,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.232541233,-0.528576389,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,0,RandomDot38.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.232541233,-0.528576389,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,60,5.4289,space,41,7.8746,,,,,,0,23,23,23,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,1.8,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.263503689,-0.530789931,1,0,0,LeftButton,"[""LeftButton""]",,,,2.892550998,3.3281,space,2.1765,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,0.295789931,-0.486137153,1,0,0,RightButton,"[""RightButton""]",62,5.9966,space,,,,,,,,,,,,,,,0,25,25,25,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,4.6286,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.293972439,-0.524748264,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,60,3.1384,space,39,4.3255,,,,,,0,26,26,26,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,,1.2733,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.255577257,-0.498880208,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,21,3.4667,space,39,5.2787,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,,1.6376,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,0.29781901,-0.510451389,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,89.75793087,3.4085,space,8.66707439,4.4217,0,28,28,28,1,2,only_sub_right.png,3,RandomDot20.png,No answer,21,1.1546,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Smaller,Greater,,0.351367188,-0.495147569,1,0,0,RightButton,"[""RightButton""]",61,5.0592,space,,,,,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,0,RandomDot2.png,No answer,20,,3.5752,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_3S8p45ndEmC6VLP,1,2024-05-29_11h29.30.138,interaction task,2021.2.3,MacIntel,64.1025641,121583,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.253814019,-0.49953125,1,0,0,LeftButton,"[""LeftButton""]",,,,3.296522352,5.396,space,2.2381,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,,,,,,,
