chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_forgiveness.rt,key_guilt.rt,key_share.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301388889,-0.485365854,1,0,0,RightButton,"[""RightButton""]",,,,1.013888889,3.353,space,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,,,0.306,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.306944444,-0.529268293,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,0,RandomDot20.png,No answer,19,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.265277778,-0.504878049,1,0,0,LeftButton,"[""LeftButton""]",51,2.522,space,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,0.335,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.254166667,-0.485365854,1,0,0,RightButton,"[""RightButton""]",,,,0.25,2.698,space,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot32.png,No answer,19,,,,0.518,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.291666667,-0.526829268,1,0,0,RightButton,"[""RightButton""]",,,,0.965277778,2.018,space,,,,,,,,,,,0,19,19,19,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,,0.321,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.263888889,-0.497560976,1,0,0,LeftButton,"[""LeftButton""]",45,1.871,space,,,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,0.294,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,0.316666667,-0.52195122,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,51.26262626,2.161,space,35.26936027,3.095,0,21,21,21,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,0.299,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.355555556,-0.180487805,0,0,0,,[],,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,,,36,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.3,-0.514634146,1,0,0,LeftButton,"[""LeftButton""]",49,1.589,space,,,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,,1.071,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lghUhjTVIzEwwh,1,2024-05-22_15h13.31.229,interaction task,2021.2.3,MacIntel,31.25,120742,,,,,,,,,,,,,,,,,Smaller,Greater,,0.238888889,-0.507317073,1,0,0,RightButton,"[""RightButton""]",41,1.425,space,,,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,0.404,,,,,,,
