chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Greater,Smaller,,0.385416698,-0.523333435,1,0,0,RightButton,"[""RightButton""]",,,,,4.963541985,3.2852,space,,,,,,,,,,,0,15,15,15,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,,1.6298,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.244791651,-0.503333435,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,40,5.4577,space,12,10.5167,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot22.png,No answer,20,0.719,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301041698,-0.505,1,0,0,RightButton,"[""RightButton""]",,,,,4.901041985,4.6116,space,,,,,,,,,,,0,17,17,17,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,,1.6432,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2875,-0.485,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,20,4.9075,space,10,7.6974,,,,,,0,18,18,18,1,2,only_sub_right.png,2,RandomDot8.png,No answer,21,1.1532,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Greater,Smaller,,0.315625,-0.506666718,1,0,0,RightButton,"[""RightButton""]",,,,,,,,29,3.7503,space,8,5.9598,,,,,,0,19,19,19,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,0.8301,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Greater,Smaller,,0.322916698,-0.518333435,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,20,20,20,1,0,both_right.png,0,RandomDot22.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.267708302,-0.523333435,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,80,2.2884,space,31,5.8808,,,,,,0,21,21,21,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,0.7865,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Smaller,Greater,,0.258333397,-0.543333435,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,22,22,22,1,0,both_right.png,3,RandomDot26.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.265625,-0.536666718,1,0,0,LeftButton,"[""LeftButton""]",50,2.5844,space,0.4735,,,,,,,,,,,,,,0,23,23,23,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1JOTZSNdzRD5obR,1,2024-05-14_20h22.54.419,interaction task,2021.2.3,Win32,60.24096386,120606,,,,,,,,,,,,,,,,,Greater,Smaller,,0.301041698,-0.526666718,1,0,0,RightButton,"[""RightButton""]",51,3.6124,space,3.218,,,,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,0,RandomDot18.png,No answer,21,,,
