chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,incompleteTrials,key_share.rt,key_forgiveness.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.295754026,-0.489583333,1,0,0,LeftButton,"[""LeftButton""]",21,2.6778,space,,,,,,,,,,,,,,,0,16,16,16,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,1.5169,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.339677892,-0.528645833,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,17,17,17,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,0.308931186,-0.497395833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,71.44431134,3.2891,space,28.11201325,6.4542,0,18,18,18,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,,0.8738,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Greater,Smaller,,,0.301610542,-0.486979167,1,0,0,RightButton,"[""RightButton""]",100,1.6525,space,,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot15.png,No answer,20,1.0885,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.238653001,-0.466145833,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989019034,4.0321,space,,,,,,,,,,,,0,20,20,20,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,,1.0359,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,0.292825769,-0.484375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,61.23977698,3.2133,space,50,4.9874,0,21,21,21,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,,0.7649,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,0.36749634,-0.484375,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,69.52171791,5.3678,space,21.90055755,6.9486,0,22,22,22,1,2,only_sub_right.png,3,RandomDot31.png,No answer,19,,,,0.7679,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.306002928,-0.466145833,1,0,0,LeftButton,"[""LeftButton""]",31,3.2139,space,,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,0,RandomDot21.png,No answer,21,0.9242,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Greater,Smaller,,,0.251830161,-0.4921875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,0,both_right.png,3,RandomDot3.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,0.259150805,-0.471354167,1,0,0,RightButton,"[""RightButton""]",,,,,,,98,3.7189,space,0.9178,70,5.7762,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot17.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,0.317715959,-0.466145833,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,47.04216395,3.4794,space,77.21209163,6.6007,0,26,26,26,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,,1.6072,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.304538799,-0.466145833,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,49,2.4823,space,0.646,80,3.6483,,,,,,0,27,27,27,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,0.32942899,-0.518229167,1,0,0,RightButton,"[""RightButton""]",,,,,,,70,2.4147,space,0.598,32,4.1063,,,,,,0,28,28,28,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Greater,Smaller,,,0.338213763,-0.518229167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,70.70485233,3.4017,space,40.23914104,6.0746,0,29,29,29,1,1,both_wrong.png,3,RandomDot13.png,No answer,21,,,,1.147,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.281112738,-0.4609375,1,0,0,LeftButton,"[""LeftButton""]",,,,4.886530015,5.2645,space,,,,,,,,,,,,0,30,30,30,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,,,1.1681,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_73JC3XxCdLeJrlD,1,2024-04-09_19h19.47.506,interaction task,2021.2.3,Win32,59.17159763,120370,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.281112738,-0.4609375,1,0,0,LeftButton,"[""LeftButton""]",,,,4.989019034,3.7439,space,,,,,,,,,,,,0,31,31,31,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,1.2239,,,,,,
