chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.244067797,-0.542776999,1,0,0,RightButton,"[""RightButton""]",60,3.158,space,0.919,,,,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.289830508,-0.523141655,1,0,0,RightButton,"[""RightButton""]",,,,,,,,91,2.597,space,61,7.348,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot31.png,No answer,19,,0.654,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.257627119,-0.495091164,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,17,17,17,1,5,both_right.png,10,RandomDot42.png,LeftButton,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.266101695,-0.525946704,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,39.72778634,2.947,space,79.78941962,6.515,0,18,18,18,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,0.637,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.242372881,-0.511921459,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,89.03441192,2.779,space,1.378188666,6.4,0,19,19,19,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,0.819,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.296610169,-0.514726508,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,20,20,20,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.220338983,-0.503506311,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,40.7550077,2.776,space,80.81664099,5.696,0,21,21,21,1,3,only_sub_wrong.png,3,RandomDot38.png,No answer,20,,,0.738,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.26779661,-0.503506311,1,0,0,RightButton,"[""RightButton""]",60,4.32,space,0.42,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,0,RandomDot14.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.284745763,-0.520336606,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,23,23,23,1,0,both_right.png,3,RandomDot27.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.284745763,-0.520336606,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,71,23.062,space,41,25.23,,,,,,0,24,24,24,1,1,both_wrong.png,2,RandomDot1.png,No answer,21,,0.253,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313559322,-0.523141655,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,71,2.959,space,51,6.575,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,0.653,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,0.257627119,-0.53997195,1,0,0,RightButton,"[""RightButton""]",,,,,3.559322034,4.697,space,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,2.701,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.276271186,-0.511921459,1,0,0,RightButton,"[""RightButton""]",20,2.267,space,0.536,,,,,,,,,,,,,,0,27,27,27,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244067797,-0.545582048,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,96.73857216,2.558,space,8.055127547,4.808,0,28,28,28,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,0.718,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.322033898,-0.503506311,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.898305085,3.131,space,,,,,,,,,,,0,29,29,29,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,1.087,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,0.240677966,-0.511921459,1,0,0,RightButton,"[""RightButton""]",,,,,,,,32,3.03,space,11,5.93,,,,,,0,30,30,30,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,,0.638,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.26779661,-0.531556802,1,0,0,RightButton,"[""RightButton""]",,,,,1.033898305,2.465,space,,,,,,,,,,,0,31,31,31,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,1.017,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.244067797,-0.50911641,1,0,0,RightButton,"[""RightButton""]",,,,,2.525423729,1.449,space,,,,,,,,,,,0,32,32,32,1,1,both_wrong.png,1,RandomDot14.png,No answer,20,0.521,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.36440678,-0.481065919,1,0,0,LeftButton,"[""LeftButton""]",79,1.735,space,0.451,,,,,,,,,,,,,,0,33,33,33,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.308474576,-0.542776999,1,0,0,LeftButton,"[""LeftButton""]",,,,,1.016949153,2.431,space,,,,,,,,,,,0,34,34,34,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,0.417,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.386440678,-0.497896213,1,0,0,LeftButton,"[""LeftButton""]",88,1.851,space,0.437,,,,,,,,,,,,,,0,35,35,35,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.357627119,-0.492286115,1,0,0,LeftButton,"[""LeftButton""]",89,2.101,space,0.552,,,,,,,,,,,,,,0,36,36,36,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.313559322,-0.481065919,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.822033898,1.813,space,,,,,,,,,,,0,37,37,37,1,3,only_sub_wrong.png,1,RandomDot22.png,No answer,20,0.584,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.391525424,-0.531556802,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,69,2.713,space,40,5.664,,,,,,0,38,38,38,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,0.452,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Smaller,Greater,,0.277966102,-0.489481066,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,39,39,39,1,0,both_right.png,0,RandomDot5.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,0.245762712,-0.47826087,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,40,40,40,1,0,both_right.png,2,RandomDot28.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.291525424,-0.523141655,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,41,41,41,1,0,both_right.png,1,RandomDot29.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_2imqlVYkXvGkEUD,1,2024-04-21_12h43.57.783,interaction task,2021.2.3,MacIntel,62.5,120852,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.333898305,-0.503506311,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,19,3.163,space,20,5.698,,,,,,,,,,,2,only_sub_right.png,2,RandomDot36.png,No answer,21,,1.42,,,0,0,0,0,1
