chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_apology.rt,incompleteTrials,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.322146477,-0.574460998,0,0,0,,[],,,,,,,,,,,,,,,,,,0,14,14,14,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,,,176,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,0.273877896,-0.50208939,1,0,0,RightButton,"[""RightButton""]",,,,0,2.8041,space,,,,,,,,,,,,0,15,15,15,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,,2.0269,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.268267375,-0.507550065,1,0,0,LeftButton,"[""LeftButton""]",,,,0.325681708,2.3717,space,,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,,,2.1661,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.286383929,-0.513757671,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,4.9703,space,20,9.2037,,,,,,,0,17,17,17,1,2,only_sub_right.png,2,RandomDot37.png,No answer,19,,2.9477,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.5668014,-0.150294735,0,0,0,,[],,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,0,RandomDot3.png,No answer,21,,,2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.28508084,-0.516745397,1,0,0,LeftButton,"[""LeftButton""]",,,,0.018671573,3.8953,space,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,1,RandomDot4.png,No answer,20,,,,0.8081,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.299052847,-0.488412468,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,39.22623923,2.6523,space,0.6388,50.05850006,4.4523,0,20,20,20,1,3,only_sub_wrong.png,3,RandomDot34.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.339901062,-0.52002584,1,0,0,RightButton,"[""RightButton""]",,,,0,8.9082,space,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot25.png,No answer,19,,,,1.2369,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Smaller,Greater,,,0.326701255,-0.521489422,1,0,0,RightButton,"[""RightButton""]",,,,1.007691844,3.4148,space,,,,,,,,,,,,0,22,22,22,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,,,,0.4179,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7smoBYcMfiEmyTu,1,2024-05-20_14h55.21.197,interaction task,2021.2.3,MacIntel,58.47953216,120750,,,,,,,,,,,,,,,,Greater,Smaller,,,0.254132481,-0.515251534,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,100,2.4029,space,1.3169,0,5.8214,0,23,23,23,1,2,only_sub_right.png,3,RandomDot22.png,No answer,20,,,,,,,,,
