chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.297916651,-0.501851908,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,0.234375,-0.479629686,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,59.36448454,4.7356,space,49.36868687,10.3316,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,1.452,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.284375,-0.531481595,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.984375,4.7355,space,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,1,RandomDot27.png,No answer,19,,2.8638,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.30625,-0.475926039,1,0,0,LeftButton,"[""LeftButton""]",69,5.7808,space,0.9343,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot25.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.261458302,-0.527777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,59.46969697,14.4952,space,40.8459596,18.8884,0,20,20,20,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,1.5181,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.242708302,-0.535185242,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,79.8821613,7.123,space,19.59175245,10.5023,0,21,21,21,1,1,both_wrong.png,3,RandomDot6.png,No answer,20,1.2009,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Greater,Smaller,,0.226041698,-0.514814928,1,0,0,RightButton,"[""RightButton""]",,,,,,,,70,4.4168,space,20,6.7891,,,,,,0,22,22,22,1,3,only_sub_wrong.png,2,RandomDot39.png,No answer,20,,,2.6995
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,0.192708397,-0.533333333,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,98.19024211,7.9719,space,0,10.0258,0,23,23,23,1,2,only_sub_right.png,3,RandomDot18.png,No answer,20,0.8642,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.282291651,-0.520370483,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.947916985,2.6192,space,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot14.png,No answer,20,,1.0029,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5lzc9Eh9N9dRLuJ,1,2024-05-31_16h30.34.860,interaction task,2021.2.3,Win32,59.52380952,120414,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.259375,-0.479629686,1,0,0,LeftButton,"[""LeftButton""]",50,6.3567,space,4.1867,,,,,,,,,,,,,,0,25,25,25,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,
