chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_apology.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.273958302,-0.503703817,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.259375,-0.53703715,1,0,0,RightButton,"[""RightButton""]",,,,,,,,80,4.6665,space,51,8.532,,,,,,0,16,16,16,1,3,only_sub_wrong.png,2,RandomDot22.png,No answer,19,,0.5183,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.288541698,-0.512963019,1,0,0,RightButton,"[""RightButton""]",50,2.8446,space,1.6085,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.295833302,-0.525926039,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,66.83502005,4.2784,space,42.31902999,8.5086,0,18,18,18,1,2,only_sub_right.png,3,RandomDot36.png,No answer,20,,,2.7482,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.294791651,-0.520370483,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,19,19,19,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.233333397,-0.498148261,1,0,0,RightButton,"[""RightButton""]",,,,,,,,62,5.2441,space,30,8.1167,,,,,,0,20,20,20,1,1,both_wrong.png,2,RandomDot19.png,No answer,19,,0.3192,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.226041698,-0.518518575,1,0,0,RightButton,"[""RightButton""]",60,2.7353,space,0.4715,,,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,0,RandomDot39.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.296875,-0.518518575,1,0,0,RightButton,"[""RightButton""]",31,4.0519,space,0.374,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,0,RandomDot16.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.272916651,-0.527777778,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.979166985,9.2995,space,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,1,RandomDot1.png,No answer,19,3.467,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.308333397,-0.514814928,1,0,0,RightButton,"[""RightButton""]",,,,,4.984375,6.884,space,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,20,1.4624,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.184375,-0.475926039,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,87,2.9972,space,50,8.824,,,,,,0,25,25,25,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,,4.576,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.29375,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.96875,11.557,space,,,,,,,,,,,0,26,26,26,1,3,only_sub_wrong.png,1,RandomDot8.png,No answer,21,2.6711,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.266666698,-0.524074131,1,0,0,RightButton,"[""RightButton""]",,,,,,,,71,3.1753,space,49,7.3361,,,,,,0,27,27,27,1,2,only_sub_right.png,2,RandomDot5.png,No answer,21,,0.7566,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244791698,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,,,,60,2.8019,space,45,5.4091,,,,,,0,28,28,28,1,2,only_sub_right.png,2,RandomDot16.png,No answer,20,,0.8036,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.259375,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.994791985,2.662,space,,,,,,,,,,,0,29,29,29,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,0.4073,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.302083302,-0.529629686,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,59.6801411,3.8157,space,38.32070707,6.5225,0,30,30,30,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,,,0.5679,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.282291651,-0.501851908,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,60,2.8584,space,32,4.1089,,,,,,0,31,31,31,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,,0.3454,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.276041698,-0.481481595,1,0,0,RightButton,"[""RightButton""]",,,,,4.979166985,2.3727,space,,,,,,,,,,,0,32,32,32,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,0.9434,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.286458397,-0.531481595,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,67.99242424,4.7927,space,41.47727273,8.0316,0,33,33,33,1,2,only_sub_right.png,3,RandomDot26.png,No answer,20,,,1.1101,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25,-0.485185242,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,44.31818182,5.6966,space,50.7365352,9.8908,0,34,34,34,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,20,,,0.3351,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.235416651,-0.511111111,1,0,0,LeftButton,"[""LeftButton""]",45,2.9649,space,1.1251,,,,,,,,,,,,,,0,35,35,35,1,1,both_wrong.png,0,RandomDot22.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.176041603,-0.661111111,0,0,0,,[],,,,,,,,,,,,,,,,,,0,36,36,36,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,,67,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.278125,-0.514814928,1,0,0,LeftButton,"[""LeftButton""]",,,,,4.963541985,2.51,space,,,,,,,,,,,0,37,37,37,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,1.5054,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.295833302,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,67.88721181,4.3617,space,45.26515152,6.0228,0,38,38,38,1,1,both_wrong.png,3,RandomDot23.png,No answer,20,,,0.3335,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,0.280208397,-0.466666667,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,39,39,39,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.266666651,-0.505555556,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,40,40,40,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.411458397,-0.520370483,1,0,0,RightButton,"[""RightButton""]",52,3.9661,space,1.9626,,,,,,,,,,,,,,0,41,41,41,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_37HoYLt2WoBiFYl,1,2024-05-24_12h22.59.076,interaction task,2021.2.3,Win32,59.17159763,121486,,,,,,,,,,,,,,,,,Smaller,Greater,,0.2625,-0.5,1,0,0,RightButton,"[""RightButton""]",,,,,4.958333492,2.0473,space,,,,,,,,,,,,,,,,1,both_wrong.png,1,RandomDot17.png,No answer,20,0.9035,,,,0,0,0,0,1
