chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,incompleteTrials,key_guilt.rt,key_forgiveness.rt,key_apology.rt,key_share.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.283333333,-0.531481481,1,0,0,LeftButton,"[""LeftButton""]",,,,2.96875,1.8759,space,,,,,,,,,,,0,23,23,17,1,1,both_wrong.png,1,RandomDot29.png,No answer,19,,,,,2.2457,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.302083333,-0.52037037,1,0,0,RightButton,"[""RightButton""]",,,,2.015625,1.256,space,,,,,,,,,,,0,24,24,27,1,2,only_sub_right.png,1,RandomDot34.png,No answer,19,,,,,6.6512,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.198958333,-0.918518519,0,0,0,,[],,,,,,,,,,,,,,,,,0,25,25,22,1,1,both_wrong.png,3,RandomDot30.png,No answer,20,104,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.35625,-0.525925926,0,0,0,,[],,,,,,,,,,,,,,,,,0,26,26,44,1,3,only_sub_wrong.png,2,RandomDot15.png,No answer,21,102,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.323958333,-0.490740741,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,31.69191919,3.3895,space,75.77861953,4.163,0,27,27,47,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,,,1.6377,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.304166667,-0.531481481,1,0,0,RightButton,"[""RightButton""]",,,,1.979166667,4.666,space,,,,,,,,,,,0,28,28,15,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,,,,7.3381,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.248958333,-0.905555556,0,0,0,,[],,,,,,,,,,,,,,,,,0,29,29,30,1,2,only_sub_right.png,2,RandomDot36.png,No answer,21,115,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.013541667,-0.738888889,0,0,0,,[],,,,,,,,,,,,,,,,,0,30,30,40,1,3,only_sub_wrong.png,1,RandomDot6.png,No answer,21,125,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.308333333,-0.481481481,1,0,0,RightButton,"[""RightButton""]",77,4.7519,space,,,,,,,,,,,,,,0,31,31,36,1,3,only_sub_wrong.png,0,RandomDot26.png,No answer,19,,0.9584,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_7dS7fGcto4aBF0E,1,2024-04-01_18h51.43.993,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.316666667,-0.507407407,1,0,0,RightButton,"[""RightButton""]",71,4.2062,space,,,,,,,,,,,,,,0,32,32,13,1,1,both_wrong.png,0,RandomDot39.png,No answer,21,,1.0376,,,,,,,,
