chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,key_guilt.rt,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_share.rt,key_apology.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.3390625,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,14,14,4,1,0,both_right.png,1,RandomDot30.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.281770897,-0.537963019,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,88.45749479,2.1973,space,13.0155756,3.1634,0,15,15,24,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,0.5563,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.305208302,-0.486111111,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,16,16,5,1,0,both_right.png,1,RandomDot3.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.284895802,-0.524074131,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,0,5.4665,space,0,8.9164,,,,,,0,17,17,32,1,2,only_sub_right.png,2,RandomDot33.png,No answer,20,,,2.2863,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.3,-0.51203715,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,77.14646465,4.2039,space,8.912040248,6.6352,0,18,18,6,1,3,only_sub_wrong.png,3,RandomDot20.png,No answer,19,1.5239,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.315625,-0.498148261,1,0,0,LeftButton,"[""LeftButton""]",0,5.967,space,2.2103,,,,,,,,,,,,,,0,19,19,36,1,2,only_sub_right.png,0,RandomDot16.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Smaller,Greater,,0.301041698,-0.542592706,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,87.93140373,2.2417,space,12.43686869,3.45,0,20,20,26,1,3,only_sub_wrong.png,3,RandomDot9.png,No answer,19,0.5427,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.3515625,-0.504629686,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,75.04209075,3.118,space,12.80513629,4.1157,0,21,21,34,1,3,only_sub_wrong.png,3,RandomDot17.png,No answer,19,0.5974,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.3,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,51,11.8155,space,69,10.2279,,,,,,0,22,22,42,1,3,only_sub_wrong.png,2,RandomDot13.png,No answer,21,,,3.2364,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_21BWPLE20uoyM7G,1,2024-03-16_02h03.39.196,interaction task,2021.2.3,Win32,60.24096386,,,,,,,,,,,,,,,,,Greater,Smaller,,0.305208397,-0.522222222,1,0,0,RightButton,"[""RightButton""]",0,3.6043,space,1.2026,,,,,,,,,,,,,,0,23,23,45,1,1,both_wrong.png,0,RandomDot32.png,No answer,19,,,,,,,,,
