chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,key_forgiveness.rt,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_share.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,0.295968967,-0.533602431,1,0,0,RightButton,"[""RightButton""]",,,,,,,54,3.7582,space,0,7.1207,,,,,,,0,15,15,15,1,1,both_wrong.png,2,RandomDot10.png,No answer,20,0.7926,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,0.311306424,-0.537170139,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,16,16,16,1,0,both_right.png,3,RandomDot30.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,0.373855252,-0.513472222,1,0,0,RightButton,"[""RightButton""]",0,2.5167,space,,,,,,,,,,,,,,,0,17,17,17,1,2,only_sub_right.png,0,RandomDot37.png,No answer,21,,,0.7518,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.287527127,-0.508185764,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,18,18,18,1,0,both_right.png,0,RandomDot22.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,0.318853082,-0.543498264,1,0,0,RightButton,"[""RightButton""]",,,,,,,79,4.887,space,0,8.5125,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,1.6226,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.333230252,-0.531883681,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,0,6.0747,space,0,8.4591,,,,,,,0,20,20,20,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,0.3335,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,0.323627387,-0.50453125,1,0,0,RightButton,"[""RightButton""]",30,6.6499,space,,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,0,RandomDot28.png,No answer,19,,,2.0194,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.281922743,-0.504505208,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,22,22,22,1,4,both_right.png,10,RandomDot41.png,LeftButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.358718533,-0.48015625,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,64.66707001,12.2399,space,2.5496,19.61257541,10.3864,0,23,23,23,1,3,only_sub_wrong.png,3,RandomDot36.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5gBJYH1TXEzkJ8L,1,2024-05-10_22h28.59.711,interaction task,2021.2.3,MacIntel,60.24096386,120347,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.298562283,-0.471675347,1,0,0,LeftButton,"[""LeftButton""]",,,,4.987413194,2.036,space,,,,,,,,,,,,0,24,24,24,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,,1.1586,,,,,,,
