chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_apology.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,0.263543192,-0.502604167,1,0,0,RightButton,"[""RightButton""]",3,2.6416,space,,,,,,,,,,,,,,,0,18,18,18,1,1,both_wrong.png,0,RandomDot24.png,No answer,21,,0.6886,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.320644217,-0.4921875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,93.48018989,3.9402,space,13.76650842,4.9811,0,19,19,19,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,,,0.6179,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,0.279648609,-0.520833333,1,0,0,RightButton,"[""RightButton""]",2,3.2617,space,,,,,,,,,,,,,,,0,20,20,20,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,0.689,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,0.276720351,-0.46875,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,21,21,21,1,0,both_right.png,0,RandomDot36.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.194729136,-0.486979167,1,0,0,RightButton,"[""RightButton""]",,,,2.463396779,8.6917,space,0.458,,,,,,,,,,,0,22,22,22,1,2,only_sub_right.png,1,RandomDot15.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,0.330893119,-0.515625,1,0,0,RightButton,"[""RightButton""]",1,2.1543,space,,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,0,RandomDot29.png,No answer,20,,0.4777,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.322108346,-0.502604167,1,0,0,LeftButton,"[""LeftButton""]",,,,2.5,6.062,space,0.4864,,,,,,,,,,,0,24,24,24,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.311859444,-0.5078125,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,82.83198012,5.7553,space,4.597216676,9.0384,0,25,25,25,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,0.4168,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.330893119,-0.4921875,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,2,5.7667,space,9,7.0245,,,,,,0,26,26,26,1,1,both_wrong.png,2,RandomDot24.png,No answer,19,0.2607,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_5ZUNCbLeFy8Pq4V,1,2024-05-31_12h50.01.367,interaction task,2021.2.3,Win32,60.24096386,120161,,,,,,,,,,,,,,,,,Greater,Smaller,,0.285505124,-0.518229167,1,0,0,RightButton,"[""RightButton""]",,,,,,,,2,4.5436,space,8,5.5792,,,,,,0,27,27,27,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,0.7909,,,,,,,,
