choose_trial,key_resp.keys,key_resp.rt,key_resp_4.keys,key_resp_4.rt,session_trait,slider_face_judge.response,slider_face_judge.rt,key_resp_3.keys,key_resp_3.rt,face_loop.thisRepN,face_loop.thisTrialN,face_loop.thisN,face_loop.thisIndex,face_loop.ran,face_serial,image_name,isCheck,answer,check_question,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,session.thisRepN,session.thisTrialN,session.thisN,session.thisIndex,session.ran,session.order,session_serial,slider_judge_img,face_loop.order
,,,,,,,,,,0,19,19,32,1,33,image/33.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,19,19,32,1,33,image/33.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,20,20,34,1,35,image/35.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,20,20,34,1,35,image/35.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,20,20,34,1,35,image/35.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,21,21,6,1,7,image/7.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,21,21,6,1,7,image/7.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,21,21,6,1,7,image/7.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,22,22,41,1,42,image/42.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,22,22,41,1,42,image/42.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,22,22,41,1,42,image/42.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,23,23,47,1,48,image/48.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,23,23,47,1,48,image/48.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,23,23,47,1,48,image/48.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,24,24,0,1,1,image/1.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,24,24,0,1,1,image/1.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,24,24,0,1,1,image/1.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,25,25,27,1,28,image/28.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,25,25,27,1,28,image/28.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,25,25,27,1,28,image/28.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,26,26,4,1,5,image/5.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,26,26,4,1,5,image/5.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,26,26,4,1,5,image/5.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,27,27,26,1,27,image/27.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,27,27,26,1,27,image/27.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,27,27,26,1,27,image/27.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,28,28,8,1,9,image/9.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,28,28,8,1,9,image/9.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,28,28,8,1,9,image/9.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,29,29,9,1,10,image/10.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,29,29,9,1,10,image/10.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,29,29,9,1,10,image/10.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,30,30,44,1,45,image/45.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,30,30,44,1,45,image/45.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,30,30,44,1,45,image/45.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
,,,,,,,,,,0,31,31,7,1,8,image/8.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,31,31,7,1,8,image/8.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,0,0,0,0,1,3,0,critical.png,52
,,,,,,,,,,0,31,31,7,1,8,image/8.jpg,0,0,,R_5pSuadkN58kbdOq,2,2024-04-16_08h02.55.012,face trait task,2021.2.3,MacIntel,60.24096386,,,,,,,,,,
