chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_share.rt,key_guilt.rt,key_forgiveness.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.250524077,-0.461538462,0,0,0,,[],,,,,,,,,,,,,,,,,,0,13,13,9,1,0,both_right.png,3,RandomDot27.png,No answer,20,,,,55,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.247379423,-0.503496503,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,1.189042471,1.1113,space,17.28289181,2.0542,0,14,14,34,1,2,only_sub_right.png,3,RandomDot10.png,No answer,19,,,0.9465,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,0.319706563,-0.538461538,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,15,15,6,1,0,both_right.png,2,RandomDot25.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.2683438,-0.531468531,1,0,0,LeftButton,"[""LeftButton""]",,,,1.032494839,1.3561,space,,,,,,,,,,,,0,16,16,41,1,3,only_sub_wrong.png,1,RandomDot15.png,No answer,20,0.9938,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.255765231,-0.459207601,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,17,17,10,1,0,both_right.png,3,RandomDot3.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.322851121,-0.494172636,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,18,18,48,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,0.182389937,-0.473193615,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,19,19,7,1,0,both_right.png,2,RandomDot10.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,0.295597484,-0.515151657,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,20,20,8,1,0,both_right.png,2,RandomDot24.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.251572327,-0.48951049,1,0,0,LeftButton,"[""LeftButton""]",10,1.3196,space,,,,,,,,,,,,,,,0,21,21,37,1,3,only_sub_wrong.png,0,RandomDot16.png,No answer,21,,1.2251,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_49GRi7W6rJG5j6F,1,2024-04-02_14h24.10.084,interaction task,2021.2.3,Win32,59.88023952,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.244234769,-0.51048951,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,22,22,4,1,0,both_right.png,1,RandomDot12.png,No answer,21,,,,,,,,,
