chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,key_apology.rt,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_guilt.rt,key_share.rt,key_forgiveness.rt
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.307615859,-0.538136889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,2,2.72,space,0.4825,10,4.1933,,,,,,0,13,13,13,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,0.245126488,-0.489045516,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,14,14,14,1,4,both_right.png,10,RandomDot41.png,RightButton,5,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.239317602,-0.546560802,1,0,0,RightButton,"[""RightButton""]",,,,,,,20,3.4599,space,0.2984,21,4.8176,,,,,,0,15,15,15,1,3,only_sub_wrong.png,2,RandomDot20.png,No answer,19,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.293059099,-0.525704823,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,30,2.6086,space,0.4353,30,3.3625,,,,,,0,16,16,16,1,1,both_wrong.png,2,RandomDot7.png,No answer,21,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.269839498,-0.539716372,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,24.05442606,3.9529,space,24.53381605,4.903,0,17,17,17,1,2,only_sub_right.png,3,RandomDot30.png,No answer,20,,,0.4527
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.296545493,-0.533092731,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,20.21715883,1.6868,space,20.12536075,2.5529,0,18,18,18,1,2,only_sub_right.png,3,RandomDot25.png,No answer,21,,,0.2723
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.265646259,-0.465523098,1,0,0,RightButton,"[""RightButton""]",,,,,,,20,2.2574,space,0.4845,20,3.0688,,,,,,0,19,19,19,1,3,only_sub_wrong.png,2,RandomDot23.png,No answer,20,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.280032951,-0.527963655,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,19.93639628,1.3354,space,20.40988112,2.4833,0,20,20,20,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,,,0.7026
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.244552509,-0.529517663,1,0,0,RightButton,"[""RightButton""]",39,2.1758,space,,,,,,,,,,,,,,,0,21,21,21,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,0.5342,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.304416454,-0.528761889,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,17.4954262,5.2832,space,19.79520975,6.1233,0,22,22,22,1,2,only_sub_right.png,3,RandomDot7.png,No answer,20,,,0.415
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.294775723,-0.457642663,1,0,0,LeftButton,"[""LeftButton""]",,,,2.934683248,2.6385,space,,,,,,,,,,,,0,23,23,23,1,3,only_sub_wrong.png,1,RandomDot36.png,No answer,19,,1.4819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1lsKKVQpKnRQfFs,1,2024-05-14_13h06.57.565,interaction task,2021.2.3,MacIntel,60.24096386,120644,,,,,,,,,,,,,,,,,Greater,Smaller,,0.25063244,-0.532829484,1,0,0,RightButton,"[""RightButton""]",,,,2.989477041,1.7104,space,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,1,RandomDot13.png,No answer,19,,0.606,
