chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,judge_2.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,clicked_guilt,incompleteTrials,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,judge.clicked_name,key_guilt.rt,key_share.rt,key_apology.rt,key_forgiveness.rt,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,0.330759149,-0.498446015,1,0,0,"[""RightButton""]",,35,2.1901,space,,,,,,,,,,,,,,0,9,9,9,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,RightButton,0.3834,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,0.311696906,-0.54091451,1,0,0,"[""RightButton""]",,67,3.5567,space,,,,,,,,,,,,,,0,10,10,10,1,1,both_wrong.png,0,RandomDot34.png,No answer,19,RightButton,2.7844,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,0.30521433,-0.469867592,1,0,0,"[""RightButton""]",,,,,,,,43,4.0113,space,46,5.2359,,,,,,0,11,11,11,1,3,only_sub_wrong.png,2,RandomDot40.png,No answer,20,RightButton,,,0.4232,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,0.290694387,-0.545608396,1,0,0,"[""RightButton""]",,,,,2.488467568,6.6629,space,,,,,,,,,,,0,12,12,12,1,1,both_wrong.png,1,RandomDot10.png,No answer,19,RightButton,,2.7871,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.27096397,-0.504044619,1,0,0,"[""LeftButton""]",,,,,2.303531044,1.1728,space,,,,,,,,,,,0,13,13,13,1,2,only_sub_right.png,1,RandomDot27.png,No answer,21,LeftButton,,1.0993,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,0.310713919,-0.513655909,1,0,0,"[""RightButton""]",,47,2.2383,space,,,,,,,,,,,,,,0,14,14,14,1,2,only_sub_right.png,0,RandomDot17.png,No answer,20,RightButton,1.6691,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,0.24467388,-0.50239484,1,0,0,"[""RightButton""]",,,,,,,,,,,,,,,,,,0,15,15,15,1,0,both_right.png,3,RandomDot39.png,No answer,20,RightButton,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Greater,Smaller,,-0.207795796,-0.50638624,1,0,0,"[""LeftButton""]",,,,,,,,33,4.8195,space,51,10.4962,,,,,,0,16,16,16,1,2,only_sub_right.png,2,RandomDot21.png,No answer,21,LeftButton,,,0.469,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.289955541,-0.538317439,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,59.63128925,5.4399,space,46.74998339,10.0388,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot22.png,No answer,21,LeftButton,,,,1.7232,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_1RlIO1DP8koMWuo,1,2024-04-09_11h19.55.602,interaction task,2021.2.3,MacIntel,59.17159763,120242,,,,,,,,,,,,,,,,,Smaller,Greater,,-0.306672749,-0.538487738,1,0,0,"[""LeftButton""]",,,,,,,,,,,,,45.58184642,2.7268,space,45.04190756,4.5271,0,18,18,18,1,1,both_wrong.png,3,RandomDot25.png,No answer,21,LeftButton,,,,0.9633,,,,,
