chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.254260461,-0.512505849,1,0,0,LeftButton,"[""LeftButton""]",87,1.3784,space,,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot33.png,No answer,19,,,0.3061,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Smaller,Greater,,,0.274929047,-0.469317401,1,0,0,RightButton,"[""RightButton""]",,,,3.941829205,3.318,space,0.6315,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,1,RandomDot17.png,No answer,20,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.264958302,-0.516888513,1,0,0,LeftButton,"[""LeftButton""]",87,1.5535,space,,,,,,,,,,,,,,,0,21,21,21,1,3,only_sub_wrong.png,0,RandomDot12.png,No answer,20,,,0.3448,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Smaller,Greater,,,0.271011353,-0.480625718,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,89.36258631,24.1158,space,69.8148477,23.0604,0,22,22,22,1,1,both_wrong.png,3,RandomDot12.png,No answer,19,0.0368,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.263420502,-0.525886677,1,0,0,LeftButton,"[""LeftButton""]",80,2.6279,space,,,,,,,,,,,,,,,0,23,23,23,1,2,only_sub_right.png,0,RandomDot8.png,No answer,20,,,0.1723,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.32704401,-0.544409717,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,24,24,24,1,5,both_right.png,10,RandomDot42.png,LeftButton,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.289145072,-0.522078761,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,,,,,,,,,,,0,25,25,25,1,0,both_right.png,2,RandomDot36.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.293196678,-0.53154571,1,0,0,LeftButton,"[""LeftButton""]",50,3.1224,space,,,,,,,,,,,,,,,0,26,26,26,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,1.0618,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.332374652,-0.50530257,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,79,3.1574,space,86,1.6278,,,,,,0,27,27,27,1,3,only_sub_wrong.png,2,RandomDot1.png,No answer,20,,1.1432,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_6upvmTfOk884ujf,1,2024-05-28_13h39.13.924,interaction task,2021.2.3,Linux x86_64,59.88023952,120472,,,,,,,,,,,,,,,,Smaller,Greater,,,0.296822786,-0.466084374,1,0,0,RightButton,"[""RightButton""]",,,,,,,,74,139.3923,space,71,137.9409,,,,,,0,28,28,28,1,1,both_wrong.png,2,RandomDot24.png,No answer,21,,0.2046,,,,,,,
