chooserow,ParID,pre_instru_resp_2.keys,pre_instru_resp_2.rt,pre_instru_resp_3.keys,pre_instru_resp_3.rt,pre_instru_resp_9.keys,pre_instru_resp_9.rt,pre_instru_resp_8.keys,pre_instru_resp_8.rt,pre_instru_resp_4.keys,pre_instru_resp_4.rt,pre_instru_resp_5.keys,pre_instru_resp_5.rt,pre_instru_resp_6.keys,pre_instru_resp_6.rt,key_resp_3.keys,key_resp_3.rt,key_resp_4.keys,key_resp_4.rt,key_resp_5.keys,key_resp_5.rt,key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,participant,session,date,expName,psychopyVersion,OS,frameRate,SONAid,pre_instru_resp.keys,pre_instru_resp.rt,clicked,judge_2.x,judge_2.y,judge_2.leftButton,judge_2.midButton,judge_2.rightButton,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,prac_answer,prac_dot_sti,dotlefttext,dotrighttext,judge_2.clicked_name,prac_acc,judge.x,judge.y,judge.leftButton,judge.midButton,judge.rightButton,judge.clicked_name,clicked_guilt,slider_guilt.response,slider_guilt.rt,key_guilt.keys,share_slider.response,share_slider.rt,key_share.keys,key_share.rt,slider_apology.response,slider_apology.rt,key_apology.keys,slider_hide.response,slider_hide.rt,slider_forgiveness.response,slider_forgiveness.rt,key_forgiveness.keys,slider_mad.response,slider_mad.rt,trialseq.thisRepN,trialseq.thisTrialN,trialseq.thisN,trialseq.thisIndex,trialseq.ran,type_trial,stipic,DV,picture,answer,number,key_forgiveness.rt,key_apology.rt,key_guilt.rt,incompleteTrials,trials_redo.thisRepN,trials_redo.thisTrialN,trials_redo.thisN,trials_redo.thisIndex,trials_redo.ran
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.322222222,-0.48,1,0,0,RightButton,"[""RightButton""]",,,,2.013888889,3.851,space,2.006,,,,,,,,,,,0,15,15,15,1,1,both_wrong.png,1,RandomDot26.png,No answer,21,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.2375,-0.484444444,1,0,0,RightButton,"[""RightButton""]",85,2.388,space,,,,,,,,,,,,,,,0,16,16,16,1,3,only_sub_wrong.png,0,RandomDot24.png,No answer,20,,,1.043,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,0.347222222,-0.462222222,1,0,0,RightButton,"[""RightButton""]",,,,,,,,,,,,,76.79573513,2.382,space,76.09427609,4.712,0,17,17,17,1,3,only_sub_wrong.png,3,RandomDot18.png,No answer,21,0.426,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.238888889,-0.48,1,0,0,LeftButton,"[""LeftButton""]",,,,2.423611111,3.433,space,0.654,,,,,,,,,,,0,18,18,18,1,2,only_sub_right.png,1,RandomDot38.png,No answer,19,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.343055556,-0.535555556,1,0,0,RightButton,"[""RightButton""]",65,6.509,space,,,,,,,,,,,,,,,0,19,19,19,1,3,only_sub_wrong.png,0,RandomDot38.png,No answer,21,,,4.621,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.316666667,-0.482222222,1,0,0,RightButton,"[""RightButton""]",76,7.854,space,,,,,,,,,,,,,,,0,20,20,20,1,1,both_wrong.png,0,RandomDot10.png,No answer,20,,,0.367,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.302777778,0.224444444,0,0,0,,[],,,,,,,,,,,,,,,,,,0,21,21,21,1,2,only_sub_right.png,1,RandomDot4.png,No answer,19,,,,111,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,-0.258333333,-0.513333333,0,0,0,,[],,,,,,,,,,,,,,,,,,0,22,22,22,1,1,both_wrong.png,3,RandomDot6.png,No answer,21,,,,89,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Smaller,Greater,,,-0.326388889,-0.533333333,1,0,0,LeftButton,"[""LeftButton""]",,,,,,,,54,6.434,space,43,8.55,,,,,,0,23,23,23,1,2,only_sub_right.png,2,RandomDot22.png,No answer,19,,0.585,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,R_68i7aYrs5yFNwB3,1,2024-05-23_14h52.29.750,interaction task,2021.2.3,MacIntel,30.3030303,120464,,,,,,,,,,,,,,,,Greater,Smaller,,,0.305555556,-0.52,1,0,0,RightButton,"[""RightButton""]",69,3.207,space,,,,,,,,,,,,,,,0,24,24,24,1,1,both_wrong.png,0,RandomDot12.png,No answer,21,,,1.87,,,,,,
